,"Monocot-eudicot","O.sativa(Beijing)",,"A.thaliana",
"IPR000063","Thioredoxin","63","60","65","42"
"IPR003245","Plant cyanin copper (blue) type domain","61","61","35","77"
"IPR001752","Kinesin motor domain","60","62","63","48"
"IPR001929","Germin","60","63","37","72"
"IPR003137","Protease associated (PA) domain","60","64","66","41"
"IPR001917","Aminotransferases class-II","58","65","26","100"
"IPR004253","DUF231 domain","58","66","46","60"
"IPR000070","Pectinesterase","53","67","65","43"
"IPR000689","UbiH/COQ6 monooxygenase family","53","68","57","54"
"IPR000629","ATP-dependent helicase, DEAD-box","51","69","38","70"
"IPR000644","CBS domain","51","70","29","91"
"IPR000743","Glycoside hydrolase family 28","51","71","82","34"
"IPR000623","Shikimate kinase","50","72","42","64"
"IPR001343","Hemolysin-type calcium-binding region","50","73","26","98"
"IPR001575","FAD linked oxidase, N-terminal","50","74","44","62"
"IPR000608","Ubiquitin-conjugating enzymes","47","75","47","59"
"IPR000194","ATP synthase alpha and beta subunit, central region","46","76","43","63"
"IPR000595","Cyclic nucleotide-binding domain","44","77","30","89"
"IPR003656","BED finger","43","78","13","177"
"IPR004087","KH domain","41","79","35","79"
"IPR000449","Ubiquitin-associated domain","40","80","34","80"
"IPR000985","Legume lectin alpha domain","37","81","25","102"
"IPR001895","Guanine-nucleotide dissociation stimulators CDC25 family","37","82","33","83"
"IPR000005","AraC type helix-turn-helix","36","83","14","160"
"IPR001214","SET-domain of transcriptional regulators (TRX, EZ, ASH1 etc)","36","84","34","81"
"IPR001825","ADP-glucose pyrophosphorylase","36","85","26","99"
"IPR002162","D-isomer specific 2-hydroxyacid dehydrogenase","36","86","30","90"
"IPR003660","HAMP domain","36","87","4","382"
"IPR000849","GlpT family of transporters","35","88","29","92"
"IPR001849","Pleckstrin homology (PH) domain","35","89","40","67"
"IPR000432","DNA mismatch repair protein MutS family, C-terminal domain","34","90","13","169"
"IPR001229","Jacalin-related lectin domain","34","91","40","66"
"IPR002035","von Willebrand factor type A domain","34","92","22","111"
"IPR000727","Target SNARE coiled-coil domain","33","93","33","82"
"IPR000897","GTP-binding signal recognition particle (SRP54) G-domain","33","94","21","114"
"IPR001753","Enoyl-CoA hydratase/isomerase","33","95","18","131"
"IPR000086","NUDIX hydrolase","32","96","30","88"
"IPR001251","Cellular retinaldehyde-binding protein (CRAL)/Triple function domain (TRIO)","32","97","36","75"
"IPR000774","Domain amino terminal to FKBP-type peptidyl-prolyl isomerase","31","98","20","118"
"IPR001320","Ionotropic glutamate receptor","31","99","19","123"
"IPR001737","Ribosomal RNA adenine dimethylase","31","100","21","115"
"IPR002912","ACT domain","31","101","23","108"
"IPR004314","Arabidopsis DUF239 protein","31","102","42","65"
"IPR000330","SNF2 related domain","30","103","38","69"
"IPR001487","Bromodomain","30","104","32","84"
"IPR001763","Rhodanese/cdc25 fold","30","105","17","139"
"IPR000315","B-box zinc finger domain","29","106","36","74"
"IPR000679","GATA-type zinc finger domain","29","107","27","95"
"IPR001073","Complement C1q protein","29","108","11","204"
"IPR001510","Poly(ADP-ribose) polymerase zinc finger domain","29","109","15","153"
"IPR002130","Cyclophilin-type peptidyl-prolyl cis-trans isomerase","29","110","29","93"
"IPR000232","Heat shock factor (HSF)-type DNA-binding domain","28","111","25","101"
"IPR000583","Glutamine amidotransferase class-II","28","112","17","135"
"IPR000886","Endoplasmic reticulum targeting sequence","28","113","44","61"
"IPR002464","ATP-dependent helicase, DEAH-box","28","114","29","94"
"IPR002482","LysM motif","28","115","13","175"
"IPR004161","Elongation factor Tu domain 2","28","116","27","97"
"IPR001678","NOL1/NOP2/sun family","27","117","17","138"
"IPR004359","Histidine kinase C-terminal","27","118","12","199"
"IPR001357","BRCT domain","26","119","15","152"
"IPR003029","S1 RNA binding domain","26","120","19","124"
"IPR003851","Dof zinc finger","26","121","37","73"
"IPR000014","PAS domain","25","122","20","117"
"IPR000672","Tetrahydrofolate dehydrogenase/cyclohydrolase","25","123","12","183"
"IPR000965","Gamma-glutamyl phosphate reductase","24","124","11","203"
"IPR001159","Double-stranded RNA binding (DsRBD) domain","24","125","17","137"
"IPR001594","DHHC-type Zn-finger","24","126","22","110"
"IPR000292","Formate and nitrite transporters","23","127","5","314"
"IPR001002","Chitin-binding domain","23","128","15","151"
"IPR001313","Pumilio-family RNA binding domains (aka PUM-HD, Pumilio homology domain)","23","129","25","103"
"IPR001876","Zn-finger in ranbp and others","23","130","18","132"
"IPR002939","DnaJ C terminal domain","23","131","20","121"
"IPR003104","Formin Homology 2 Domain","23","132","24","107"
"IPR001433","Oxidoreductase FAD and NAD(P)-binding domain","22","133","12","188"
"IPR001478","PDZ domain (also known as DHR or GLGF)","22","134","18","130"
"IPR002913","START domain","22","135","24","105"
"IPR000160","Domain of unknown function, DUF9","21","136","0","Inf"
"IPR001858","Phosphatidylethanolamine-binding protein family","21","137","7","269"
"IPR002135","3-hydroxyacyl-CoA dehydrogenase","21","138","20","120"
"IPR003616","Post-SET domain","21","139","19","125"
"IPR003661","Histidine kinase A, N-terminal","21","140","8","255"
"IPR004367","Cyclin C-terminus","21","141","32","85"
"IPR000717","Domain in components of the proteasome, COP9-complex and eIF3 (PCI)","20","142","16","143"
"IPR001202","WW / rsp5 / WWP domain","20","143","10","216"
"IPR003016","2-oxo acid dehydrogenases acyltransferase component lipoyl binding site","20","144","16","145"
"IPR003100","PAZ domain","20","145","12","197"
"IPR003958","Transcription factor (CBF/NF-Y) and archaeal histone","20","146","23","109"
"IPR000195","RabGAP/TBC domain","19","147","21","112"
"IPR000304","Delta 1-pyrroline-5-carboxylate reductase","19","148","18","127"
"IPR000804","Clathrin adaptor complex, small chain","19","149","14","163"
"IPR001450","4Fe-4S ferredoxin, iron-sulfur binding domain","19","150","8","245"
"IPR002942","S4 domain","19","151","12","196"
"IPR004333","SBP plant protein domain","19","152","15","159"
"IPR000306","FYVE Zn-finger, rabphilin/VPS27/FAB1 type","18","153","13","168"
"IPR000760","Inositol monophosphatase","18","154","12","184"
"IPR001024","Lipoxygenase, region 2","18","155","8","243"
"IPR001609","Myosin head (motor domain)","18","156","27","96"
"IPR003165","Piwi domain","18","157","10","224"
"IPR003617","Domain in N-terminus of transcription elongation factor S-II (and elsewhere)","18","158","15","157"
"IPR003961","Fibronectin type III domain","18","159","11","211"
"IPR004014","Cation transporter ATPase","18","160","19","126"
"IPR004182","GRAM domain","18","161","13","179"
"IPR000058","AN1-like Zinc finger","17","162","11","200"
"IPR000062","Thymidylate kinase","17","163","10","213"
"IPR000302","Ribosomal protein L24/bacterial NUSG","17","164","21","113"
"IPR000524","Bacterial regulatory proteins, GntR family","17","165","3","399"
"IPR001045","Spermidine  synthase","17","166","18","128"
"IPR001199","Cytochrome b5","17","167","18","129"
"IPR001764","Glycoside hydrolase family 3, N terminal","17","168","13","173"
"IPR002199","Uncharacterized protein family UPF0005","17","169","18","133"
"IPR000253","Forkhead-associated (FHA) domain","16","170","13","167"
"IPR000283","Respiratory-chain NADH dehydrogenase 75 Kd subunit","16","171","7","261"
"IPR000385","MoaA / nifB / pqqE family","16","172","8","241"
"IPR000594","UBA/THIF-type NAD/FAD binding fold","16","173","10","214"
"IPR001025","BAH (bromo-adjacent homology) domain","16","174","19","122"
"IPR001026","Epsin N-terminal homology (ENTH) domain","16","175","20","119"
"IPR001587","Uncharacterized protein UPF0036","16","176","14","165"
"IPR001633","Domain of unknown function 2","16","177","2","472"
"IPR001652","NAD-dependent glycerol-3-phosphate dehydrogenase","16","178","15","154"
"IPR001882","Biotin-requiring enzymes attachment site.","16","179","12","192"
"IPR003753","Exonuclease VII, large subunit","16","180","16","146"
"IPR000092","Polyprenyl synthetase","15","181","17","134"
"IPR000166","Histone-fold/TFIID-TAF/NF-Y domain","15","182","15","149"
"IPR000558","Histone H2B","15","183","11","202"
"IPR001012","UBX domain","15","184","13","171"
"IPR001541","SUR2-type hydroxylase/desaturase catalytic domain","15","185","14","164"
"IPR001663","Bacterial ring hydroxylating dioxygenases alpha-subunit","15","186","8","246"
"IPR002645","STAS domain","15","187","12","193"
"IPR002934","DNA polymerase beta-like domain","15","188","12","195"
"IPR003034","SAP domain","15","189","10","223"
"IPR003280","Two pore domain of K+ channel","15","190","14","166"
"IPR003347","jmjC domain","15","191","17","141"
"IPR003606","N-terminal to some SET domains","15","192","11","210"
"IPR004331","SPX, N-terminal","15","193","21","116"
"IPR004365","OB-fold nucleic acid binding domain","15","194","16","147"
"IPR000095","PAK-box /P21-Rho-binding","14","195","12","181"
"IPR000173","Glyceraldehyde 3-phosphate dehydrogenase","14","196","9","230"
"IPR000467","D111/G-patch domain","14","197","14","162"
"IPR000782","Beta-Ig-H3/Fasciclin domain","14","198","13","170"
"IPR000792","Bacterial regulatory protein, LuxR family","14","199","1","540"
"IPR000838","Sigma factor, ECF subfamily","14","200","4","360"
"IPR000842","Phosphoribosyl pyrophosphate synthetase","14","201","12","185"
"IPR001206","DAG-kinase catalytic domain (presumed)","14","202","10","217"
"IPR001739","Methyl-CpG binding domain","14","203","10","220"
"IPR002028","Tryptophan synthase alpha chain","14","204","2","481"
"IPR004156","Organic Anion Transporter Polypeptide (OATP) N-terminus","14","205","10","228"
"IPR000262","FMN-dependent alpha-hydroxy acid dehydrogenases","13","206","8","239"
"IPR000352","Class I peptide chain release factor","13","207","9","231"
"IPR000403","Phosphatidylinositol 3- and 4-kinase","13","208","12","182"
"IPR000843","Bacterial regulatory protein, LacI family","13","209","2","463"
"IPR001745","GHMP kinases putative ATP-binding domain","13","210","12","190"
"IPR001951","Histone H4","13","211","3","416"
"IPR002625","Smr domain","13","212","11","207"
"IPR002710","Dilute (DIL) domain","13","213","12","194"
"IPR002925","Dienelactone hydrolase","13","214","4","377"
"IPR002999","Tudor domain","13","215","24","106"
"IPR003105","G9a domain","13","216","12","198"
"IPR004099","Pyridine nucleotide-disulphide oxidoreductase dimerisation domain","13","217","5","338"
"IPR000164","Histone H3","12","218","11","201"
"IPR000287","Arginase family","12","219","4","349"
"IPR000313","PWWP domain","12","220","14","161"
"IPR000922","D-galactoside/L-rhamnose binding SUEL lectin domain","12","221","10","215"
"IPR001093","IMP dehydrogenase / GMP reductase","12","222","4","361"
"IPR001305","DnaJ central domain (CXXCXGXG)","12","223","8","244"
"IPR001977","Uncharacterized protein family UPF0038","12","224","7","271"
"IPR002014","VHS domain","12","225","10","221"
"IPR003035","RWP-RK domain","12","226","15","156"
"IPR003583","Helix-hairpin-helix DNA-binding motif class 1","12","227","7","281"
"IPR004009","Myosin N-terminal SH3-like domain","12","228","10","227"
"IPR000198","RhoGAP domain","11","229","7","260"
"IPR000326","PA-phosphatase related phosphoesterase","11","230","8","240"
"IPR000433","ZZ Zinc finger","11","231","8","242"
"IPR000535","Major sperm protein (MSP) domain","11","232","9","232"
"IPR001715","Calponin homology (CH) domain","11","233","12","189"
"IPR001727","Uncharacterized protein family UPF0016","11","234","13","172"
"IPR001781","LIM domain","11","235","12","191"
"IPR002108","Cofilin/tropomyosin-type actin-binding protein","11","236","13","174"
"IPR002867","Cysteine-rich domain (C6HC)","11","237","17","140"
"IPR003018","GAF domain","11","238","10","222"
"IPR000551","Bacterial regulatory proteins, MerR family","10","239","0","Inf"
"IPR001920","Aspartate and glutamate racemases","10","240","7","270"
"IPR001943","UvrB/uvrC motif","10","241","9","234"
"IPR002125","Cytidine and deoxycytidylate deaminase zinc-binding region","10","242","16","144"
"IPR003121","BAF60b domain of the SWIB complex","10","243","13","176"
"IPR003349","jmjN domain","10","244","8","253"
"IPR003607","Metal dependent phosphohydrolase HD domain","10","245","10","225"
"IPR003864","Domain of unknown function DUF221","10","246","13","178"
"IPR003890","Middle domain of eIF4G","10","247","9","236"
"IPR004152","GAT domain","10","248","8","257"
"IPR000244","Ribosomal protein L9","9","249","5","312"
"IPR000612","Uncharacterized protein family UPF0057","9","250","6","291"
"IPR000741","Fructose-bisphosphate aldolase, class-I","9","251","7","264"
"IPR001030","Aconitate hydratase, N-terminal","9","252","5","321"
"IPR001078","2-Oxo acid dehydrogenase acyltransferase catalytic domain","9","253","5","324"
"IPR001828","Receptor family ligand binding region","9","254","8","249"
"IPR001880","Uncharacterized protein family UPF0003","9","255","11","205"
"IPR002202","Hydroxymethylglutaryl-coenzyme A reductase","9","256","3","418"
"IPR002346","FAD binding domain in molybdopterin dehydrogenase","9","257","6","300"
"IPR003103","Domain present in Hsp70 regulator","9","258","5","333"
"IPR003106","Homeobox associated leucine zipper","9","259","8","250"
"IPR003111","ATP-dependent protease La (LON) domain","9","260","7","279"
"IPR003130","Dynamin GTPase effector domain","9","261","11","208"
"IPR003216","Linker histone, N-terminus","9","262","11","209"
"IPR003231","Acyl carrier protein (ACP)","9","263","8","252"
"IPR003305","Cellulose binding domain","9","264","9","235"
"IPR003892","CUE domain","9","265","2","509"
"IPR004146","DC1 domain","9","266","8","256"
"IPR004154","Anticodon binding domain","9","267","8","258"
"IPR004157","Organic Anion Transporter Polypeptide (OATP) C-terminus","9","268","8","259"
"IPR004274","NLI interacting factor","9","269","11","212"
"IPR000266","Ribosomal protein S17","8","270","6","287"
"IPR000291","D-alanine--D-alanine ligase","8","271","5","313"
"IPR000308","14-3-3 proteins","8","272","15","150"
"IPR000485","Bacterial regulatory proteins, AsnC family","8","273","1","533"
"IPR000569","HECT domain (Ubiquitin-protein ligase)","8","274","7","262"
"IPR000756","Diacylglycerol kinase accessory domain (presumed)","8","275","7","265"
"IPR000808","Mrp family","8","276","6","293"
"IPR000904","SEC7-like domain","8","277","9","233"
"IPR001145","Bacterial outer membrane protein","8","278","0","Inf"
"IPR001304","C-type lectin domain","8","279","12","187"
"IPR001331","Guanine-nucleotide dissociation stimulators CDC24 family","8","280","2","469"
"IPR001608","Uncharacterized pyridoxal-5'-phosphate dependent enzyme family UPF0001","8","281","4","366"
"IPR001660","SAM domain (Sterile alpha motif)","8","282","10","219"
"IPR001683","PX (Bem1/NCF1/PI3K) domain","8","283","8","247"
"IPR001823","Aldose 1-epimerase","8","284","4","368"
"IPR001852","Uncharacterized protein family UPF0019","8","285","4","369"
"IPR001884","Eukaryotic initiation factor 5A hypusine (eIF-5A)","8","286","4","370"
"IPR001950","Translation initiation factor SUI1","8","287","11","206"
"IPR002013","Synaptojanin N-terminal domain","8","288","7","273"
"IPR002075","Nuclear transport factor 2 (NTF2)","8","289","15","155"
"IPR002197","Helix-turn-helix Fis-type","8","290","0","Inf"
"IPR002478","PUA domain","8","291","5","331"
"IPR002888","[2Fe-2S] binding domain","8","292","6","302"
"IPR003453","Domain of unknown function DUF140","8","293","3","431"
"IPR003584","Helix-hairpin-helix motif class 2 (Pol1-type)","8","294","8","254"
"IPR003602","DNA topoisomerase I DNA-binding domain","8","295","3","434"
"IPR003725","Molybdenum-binding protein, N-terminal","8","296","0","Inf"
"IPR003891","MA3 domain","8","297","10","226"
"IPR004176","Clp amino terminus","8","298","10","229"
"IPR004193","Isoamylase N-terminus","8","299","7","286"
"IPR000061","SWAP / SURP","7","300","15","148"
"IPR000189","SLT domain","7","301","1","526"
"IPR000285","Bacterial regulatory proteins, IclR family","7","302","2","450"
"IPR000297","PpiC-type peptidyl-prolyl cis-trans isomerase","7","303","3","391"
"IPR000529","Ribosomal protein S6","7","304","6","290"
"IPR000543","YER057c/YjgF/UK114 family","7","305","2","456"
"IPR000772","Ricin B lectin domain","7","306","3","403"
"IPR001691","Glutamine synthetase","7","307","6","297"
"IPR001731","Delta-aminolevulinic acid dehydratase","7","308","8","248"
"IPR001822","Site-specific recombinase","7","309","0","Inf"
"IPR001900","Ribonuclease II domain","7","310","3","415"
"IPR002020","Citrate synthase","7","311","7","274"
"IPR002121","HRDC domain","7","312","4","371"
"IPR002205","DNA gyrase/topoisomerase IV, subunit A","7","313","4","373"
"IPR002376","Formyl transferase N-terminus","7","314","3","419"
"IPR002687","Putative snoRNA binding domain","7","315","7","276"
"IPR003169","GYF domain","7","316","8","251"
"IPR003843","UPF0010_DUF","7","317","7","284"
"IPR004217","Tim10/DDP zinc finger","7","318","4","385"
"IPR000114","Ribosomal protein L16","6","319","0","Inf"
"IPR000127","Ubiquitin-activating enzyme repeat domain","6","320","4","344"
"IPR000206","Ribosomal protein L7/L12 C-terminal domain","6","321","8","238"
"IPR000218","Ribosomal protein L14b/L23e family","6","322","4","347"
"IPR000294","Vitamin K-dependent carboxylation/gamma-carboxyglutamic (GLA) domain","6","323","4","350"
"IPR000365","4-hydroxybenzoyl-CoA thioesterase family active site","6","324","3","395"
"IPR000409","Beige/BEACH domain","6","325","6","289"
"IPR000517","Ribosomal protein L30","6","326","4","352"
"IPR000692","Fibrillarin","6","327","5","316"
"IPR000716","Thyroglobulin type-1 repeat","6","328","5","318"
"IPR000793","ATP synthase alpha and beta subunit, C-terminal","6","329","4","359"
"IPR000961","Protein kinase C-terminal domain","6","330","12","186"
"IPR001075","Nitrogen-fixing protein NifU","6","331","5","323"
"IPR001094","Flavodoxin-like domain","6","332","4","362"
"IPR001104","Steroid 5-alpha reductase, C-terminal domain","6","333","5","325"
"IPR001212","Somatomedin B domain","6","334","7","266"
"IPR001293","TRAF-type zinc finger","6","335","2","467"
"IPR001452","Src homology 3 (SH3) domain","6","336","4","365"
"IPR001468","Indole-3-glycerol phosphate synthase","6","337","2","470"
"IPR001606","AT-rich interaction domain (ARID)","6","338","10","218"
"IPR001772","Kinase associated domain 1","6","339","3","413"
"IPR001910","Inosine-uridine preferring nucleoside hydrolase","6","340","5","329"
"IPR002004","Poly-adenylate binding protein, unique domain","6","341","7","272"
"IPR002715","Nascent polypeptide Associated Complex (NAC) domain","6","342","7","277"
"IPR002893","MYND zinc finger (ZnF) domain","6","343","7","278"
"IPR003131","K+ channel tetramerisation domain","6","344","3","426"
"IPR003582","ShK toxin domain","6","345","4","378"
"IPR003604","U1-like zinc finger","6","346","4","381"
"IPR003611","Intron-encoded nuclease repeat 2","6","347","5","336"
"IPR003736","DUF157","6","348","3","435"
"IPR003811","DUF205","6","349","6","303"
"IPR003832","DUF212","6","350","5","337"
"IPR004022","DDT domain","6","351","6","306"
"IPR004095","TGS domain","6","352","6","307"
"IPR004160","Elongation factor Tu C-terminal domain","6","353","5","340"
"IPR004167","E3 binding domain","6","354","5","341"
"IPR004179","Sec63 domain","6","355","5","342"
"IPR000002","Cdc20/Fizzy","5","356","8","237"
"IPR000004","Saposin type B","5","357","4","343"
"IPR000118","Granulin","5","358","5","309"
"IPR000181","Formylmethionine deformylase","5","359","2","446"
"IPR000214","Formamidopyrimidine-DNA glycolase, zinc binding domain","5","360","2","447"
"IPR000347","Metallothionein (family 15)","5","361","2","453"
"IPR000358","Ribonucleotide reductase","5","362","3","394"
"IPR000374","Phosphatidate cytidylyltransferase","5","363","6","288"
"IPR000544","Lipoate-protein ligase B","5","364","5","315"
"IPR000568","ATP synthase A subunit","5","365","3","400"
"IPR000702","Ribosomal protein L6","5","366","4","355"
"IPR000704","Casein kinase II, regulatory subunit","5","367","5","317"
"IPR000705","Galactokinase","5","368","4","356"
"IPR000711","ATP synthase, delta (OSCP) subunit","5","369","4","357"
"IPR000911","Ribosomal protein L11","5","370","6","294"
"IPR001222","TFIIS zinc ribbon domain","5","371","6","296"
"IPR001347","SIS domain","5","372","1","550"
"IPR001368","TNFR/CD27/30/40/95 cysteine-rich region","5","373","4","364"
"IPR001381","Dehydroquinase class I active site","5","374","1","552"
"IPR001645","Folylpolyglutamate synthetase","5","375","4","367"
"IPR001651","Gastrin/cholecystokinin family","5","376","1","555"
"IPR001694","Respiratory-chain NADH dehydrogenase subunit 1","5","377","5","326"
"IPR001748","G10 protein","5","378","1","562"
"IPR001754","Orotidine 5'-phosphate decarboxylase","5","379","1","564"
"IPR001765","Prokaryotic-type carbonic anhydrase","5","380","6","298"
"IPR001783","Riboflavin synthase alpha chain family lumazine binding domain","5","381","6","299"
"IPR001890","Uncharacterized protein family UPF0044","5","382","5","328"
"IPR001983","Translationally controlled tumor protein","5","383","2","479"
"IPR001999","Osteonectin domain","5","384","2","480"
"IPR002044","Glycosyl hydrolase, starch-binding domain","5","385","2","482"
"IPR002059","Cold-shock DNA-binding domain","5","386","3","417"
"IPR002369","Integrins, beta chain","5","387","5","330"
"IPR002547","Putative tRNA binding domain","5","388","3","420"
"IPR002735","Domain found in IF2B/IF5","5","389","5","332"
"IPR002781","Domain of unknown function DUF81","5","390","4","375"
"IPR002936","Toprim domain","5","391","3","424"
"IPR002994","SURF1 family","5","392","2","493"
"IPR003348","Anion-transporting ATPase","5","393","3","429"
"IPR003395","SMC domain N terminal domain","5","394","5","335"
"IPR003405","SMC family, C-terminal domain","5","395","3","430"
"IPR003603","Motif occurring C-terminal to leucine-rich repeats","5","396","4","380"
"IPR003618","Domain in central region of transcription elongation factor S-II (and elsewhere)","5","397","7","282"
"IPR003651","Iron-sulfur cluster loop (FCL)","5","398","7","283"
"IPR003781","DUF184","5","399","4","383"
"IPR003877","SPla and the RYanodine Receptor (SPRY)","5","400","7","285"
"IPR003953","Fumarate reductase/succinate dehydrogenase flavoprotein, N-terminal","5","401","3","437"
"IPR004343","Plus-3","5","402","4","386"
"IPR004361","Glyoxalase I","5","403","3","442"
"IPR000020","Anaphylatoxin/Fibulin","4","404","1","522"
"IPR000049","Electron transfer flavoprotein beta-subunit","4","405","2","443"
"IPR000131","ATP synthase gamma subunit","4","406","5","310"
"IPR000139","Antitermination protein NusB","4","407","2","445"
"IPR000170","High potential iron-sulfur protein","4","408","0","Inf"
"IPR000196","Ribosomal protein L19e","4","409","4","345"
"IPR000197","TAZ finger","4","410","4","346"
"IPR000235","Ribosomal protein S7","4","411","4","348"
"IPR000257","Uroporphyrinogen decarboxylase (URO-D)","4","412","3","389"
"IPR000267","Asparaginase/glutaminase family","4","413","3","390"
"IPR000398","Thymidylate synthase","4","414","4","351"
"IPR000573","Aconitate hydratase, C-terminal","4","415","7","263"
"IPR000592","Ribosomal protein S27E","4","416","4","353"
"IPR000652","Triosephosphate isomerase","4","417","2","458"
"IPR000683","Oxidoreductase, N-terminal","4","418","4","354"
"IPR000730","Proliferating cell nuclear antigen","4","419","3","402"
"IPR000738","WHEP-TRS domain","4","420","5","319"
"IPR000740","GrpE protein","4","421","4","358"
"IPR000783","RNA polymerase H/23 kD subunit","4","422","5","320"
"IPR000923","Type-1 copper (blue) domain","4","423","3","405"
"IPR001052","Rubredoxin","4","424","3","406"
"IPR001374","R3H domain","4","425","7","267"
"IPR001460","Penicillin binding protein transpeptidase domain","4","426","0","Inf"
"IPR001640","Prolipoprotein diacylglyceryl transferase","4","427","0","Inf"
"IPR001655","Neutrophil cytosol factor 1","4","428","3","410"
"IPR001684","Ribosomal protein L27","4","429","3","411"
"IPR001725","RNA polymerases K/14 to 18 Kd subunits","4","430","2","476"
"IPR001741","Glucokinase regulatory protein","4","431","1","561"
"IPR001829","Gram-negative pili assembly chaperone","4","432","2","477"
"IPR001886","Laminin N-terminal (Domain VI)","4","433","1","567"
"IPR001949","Respiratory-chain NADH dehydrogenase 51 Kd subunit","4","434","1","569"
"IPR002192","Pyruvate phosphate dikinase, PEP/pyruvate binding domain","4","435","4","372"
"IPR002350","Kazal-type serine protease inhibitor domain","4","436","2","485"
"IPR002500","Phosphoadenosine phosphosulfate reductase","4","437","4","374"
"IPR002501","Pseudouridylate synthase, TruB family, N-terminus","4","438","2","487"
"IPR002909","IPT/TIG domain","4","439","3","422"
"IPR002932","Ferredoxin-dependent glutamate synthase","4","440","3","423"
"IPR003097","FAD-binding domain","4","441","3","425"
"IPR003135","ATP-grasp domain","4","442","1","586"
"IPR003141","PHP domain N-terminal region","4","443","1","587"
"IPR003148","KTN NAD-binding domain","4","444","2","497"
"IPR003152","FATC domain","4","445","3","427"
"IPR003156","DHHA1 domain","4","446","1","590"
"IPR003307","eIF4-gamma/eIF5/eIF2-epsilon","4","447","7","280"
"IPR003364","Seryl-tRNA synthetase N-terminal domain","4","448","2","502"
