"Additional file 4: Antibiotic resistance genes in sequenced E. faecium isolates"
"Strain","Resistancea","MICb (µg/ml)","Resistance gene","Locus tag","Contig","Remarks"
,,,,,,
"E1679","AMP","256","low affinity penicillin-binding protein 5","EfmE1679_2724","309","Presence of amino acid residues A at position 485, T at position 499 and V at position 629 confers ampicillin resistance [7]."
,"CIP","25","gyrA","EfmE1679_2520","264","Amino acid change (E to K) in residue 87 of GyrA [9]. "
,"CIP","25","parC","EfmE1679_0369","37","Amino acid change (E to K) in residue 86 of ParC [9]."
,"ERY",">64","rRNA adenine N-6-methyltransferase","EfmE1679_0214","28","ermA, located on Tn554 [10]."
,,,,,,
,,,"rRNA adenine N-6-methyltransferase","EfmE1679_0608","50","ermB. This gene and its neighbouring genes are identical to antibiotic resistance plasmid pSL1 from E. faecalis [Genbank: AB247327]."
,,,,,,
,"GEN",">512","6'-aminoglycoside N-acetyltransferase","EfmE1679_2053","192","99% identical to the bifunctional aminoglycoside modifying enzyme AacA-AphD [11]."
,,,,,,
,"SPC","1024","streptomycin 3''-adenylyltransferase","EfmE1679_0213","28","aad9, located on Tn554 [9]"
,,,,,,
,"VAN",">256","vanA transposon","EfmE1679_0615 to EfmE1679_0621","50","The vanA gene cluster is identical to Tn1546 (6). This gene cluster and its neighbouring genes are identical to antibiotic resistance plasmid pSL1 from E. faecalis [Genbank: AB247327]."
,,,,,,
"U0317","AMP","256","low affinity penicillin-binding protein 5","EfmU0317_1777","119","Presence of amino acid residues S at position 466’, A at position 485, T at position 499 and V at position 629 confers ampicillin resistance [7]."
,"CIP","203","gyrA","EfmU0317_1301","248","Amino acid change (S to R) in residue 83 of GyrA [9]."
,"CIP","203","parC","EfmU0317_1677","109","Amino acid change (S to R) in residue 82 of ParC [9]."
,"ERY",">64","rRNA adenine N-6-methyltransferase","EfmU0317_2452","187","ermB. This gene and its neighbouring genes are identical to antibiotic resistance plasmid pSL1 from E. faecalis [Genbank: AB247327]."
,"GEN",">512","bifunctional AAC/APH","EfmU0317_2161","159","100% identical to the bifunctional aminoglycoside modifying enzyme AacA-AphD [11]"
,"STR","2048","aminoglycoside 6-adenylyltransferase (AAD(6))","EfmU0317_2169","165","aadE, identical to a protein encoded on E. faecalis plasmid pRE25 [2]"
"a Abbreviations are AMP: ampicillin, CHL: chloramphenicol, CIP: ciprofloxacin, ERY: erythromycin, GEN: gentamicin, SPC: spectinomycin, STR: streptomycin, TET: tetracycline, VAN: vancomycin.",,,,,,
"b The minimal inhibitory concentration (MIC) of the indicated antibiotics against the seven isolates was determined by broth microdilution. The results are the averages of three independent determinations. Breakpoints for antimicrobial resistance are as follows: ampicillin, minimum inhibitory concentration (MIC) ≥ 16 μg/ml; chloramphenicol, MIC ≥ 32 μg/ml; ciprofloxacin, MIC ≥ 4 μg/ml; erythromycin, MIC ≥ 8 μg/ml; gentamicin, MIC ≥ 128 μg/ml; spectinomycin, MIC ≥ 256 μg/ml; streptomycin, MIC ≥ 256 μg/ml; tetracycline ≥ 8 μg/ml; vancomycin ≥ 4 μg/ml.",,,,,,
"c None of the previously charachterized erythromycin resistance genes ermA, ermB, mefA or msrA are present in E980. "
"References"
"1","Grady R, Hayes F: Axe-Txe, a broad-spectrum proteic toxin-antitoxin system specified by a multidrug-resistant, clinical isolate of Enterococcus faecium. Mol Microbiol 2003, 47:1419-1432.",,,,,
"2","Schwarz FV, Perreten V, Teuber M: Sequence of the 50-kb conjugative multiresistance plasmid pRE25 from Enterococcus faecalis RE25. Plasmid 2001, 46:170-187.",,,,,
"3","Projan SJ, Moghazeh S, Novick RP: Nucleotide sequence of pS194, a streptomycin-resistance plasmid from Staphylococcus aureus. Nucleic Acids Res 1988, 16:2179-2187.",,,,,
"4","Sletvold H, Johnsen PJ, Simonsen GS, Aasnaes B, Sundsfjord A, Nielsen KM: Comparative DNA analysis of two vanA plasmids from Enterococcus faecium strains isolated from poultry and a poultry farmer in Norway. Antimicrob.Agents Chemother 2007 51:736-739.",,,,,
"5","McMurry LM, Levy SB: Tetracycline resistance determinants in Gram-positive bacteria.  In Gram-positive pathogens, edited by Fischetti V, Novick R, Ferretti J, Portnoy D, Rood J. Washington DC: ASM Press; 2006:801-820.",,,,,
"6","Arthur M, Molinas C, Depardieu F, Courvalin P: Characterization of Tn1546, a Tn3-related transposon conferring glycopeptide resistance by synthesis of depsipeptide peptidoglycan precursors in Enterococcus faecium BM4147. J Bacteriol 1993, 175:117-127.",,,,,
"7","Rice LB, Bellais S, Carias LL, Hutton-Thomas, R, Bonomo RA, Caspers P, Page MGP, Gutmann L: Impact of specific pbp5 mutations on expression of beta-lactam resistance in Enterococcus faecium. Antimicrob Agents Chemother 2004 48:3028-3032.",,,,,
"8","Fontana R, Aldegheri M, Ligozzi M, Lopez H, Sucari A, Satta G: Overproduction of a low-affinity penicillin-binding protein and high-level ampicillin resistance in Enterococcus faecium. Antimicrob Agents Chemother 1994 38:1980-1983.",,,,,
"9","Leavis HL, Willems RJL, Top J, Bonten MJM: High-level ciprofloxacin resistance from point mutations in gyrA and parC confined to global hospital-adapted clonal lineage CC17 of Enterococcus faecium. J Clin Microbiol 2006, 44:1059-1064.",,,,,
"10","Murphy E, Huwyler L, de Freire Bastos MDC: Transposon Tn554: complete nucleotide sequence and isolation of transposition-defective and antibiotic-sensitive mutants. EMBO J 1985, 4:3357-3365.",,,,,
"11","Ferretti JJ, Gilmore KS, Courvalin P: Nucleotide sequence analysis of the gene specifying the bifunctional 6'-aminoglycoside acetyltransferase 2""-aminoglycoside phosphotransferase enzyme in Streptococcus faecalis and identification and cloning of gene regions specifying the two activities. J Bacteriol 1986, 167:631-638.",,,,,

