"Additional File 2. COGs present in the seven E. faecium genomes"
,,,
,,,,,,"Strainsb",,,
"COG0035","F","Uracil phosphoribosyltransferase","1","1","1","1","1","1","1"
"COG0036","G","Pentose-5-phosphate-3-epimerase","2","1","2","1","1","2","3"
"COG0037","D","Predicted ATPase of the PP-loop superfamily implicated in cell cycle control","1","1","1","1","1","1","1"
"COG0038","P","Chloride channel protein EriC","2","2","2","2","2","2","2"
"COG0039","C","Malate/lactate dehydrogenases","2","2","2","2","2","2","2"
"COG0041","F","Phosphoribosylcarboxyaminoimidazole (NCAIR) mutase","1","1","1","1","1","1","1"
"COG0042","J","tRNA-dihydrouridine synthase","2","2","2","2","2","2","2"
"COG0043","H","3-polyprenyl-4-hydroxybenzoate decarboxylase and related decarboxylases","2","2","1","1","1","1","1"
"COG0044","F","Dihydroorotase and related cyclic amidohydrolases","1","1","1","1","1","1","1"
"COG0046","F","Phosphoribosylformylglycinamidine (FGAM) synthase, synthetase domain","1","1","1","1","1","1","1"
"COG0047","F","Phosphoribosylformylglycinamidine (FGAM) synthase, glutamine amidotransferase domain","1","1","1","1","1","1","1"
"COG0048","J","Ribosomal protein S12","1","1","1","1","2","2","1"
"COG0049","J","Ribosomal protein S7","1","1","1","1","1","1","1"
"COG0050","J","GTPases - translation elongation factors","2","2","2","2","2","2","2"
"COG0051","J","Ribosomal protein S10","1","1","1","1","1","1","1"
"COG0052","J","Ribosomal protein S2","1","1","1","1","1","1","1"
"COG0053","P","Predicted Co/Zn/Cd cation transporters","2","2","2","2","2","2","2"
"COG0055","C","F0F1-type ATP synthase, beta subunit","1","1","1","1","1","1","1"
"COG0056","C","F0F1-type ATP synthase, alpha subunit","1","1","1","1","1","1","1"
"COG0057","G","Glyceraldehyde-3-phosphate dehydrogenase/erythrose-4-phosphate dehydrogenase","2","3","3","2","2","3","2"
"COG0058","G","Glucan phosphorylase","3","0","0","0","0","0","0"
"COG0060","J","Isoleucyl-tRNA synthetase","1","1","1","1","1","1","1"
"COG0061","G","Predicted sugar kinase","1","1","1","1","1","1","1"
"COG0063","G","Predicted sugar kinase","1","1","1","1","1","1","1"
"COG0064","J","Asp-tRNAAsn/Glu-tRNAGln amidotransferase B subunit (PET112 homolog)","1","1","1","1","1","1","1"
"COG0071","O","Molecular chaperone (small heat shock protein)","2","1","1","1","1","0","1"
"COG0072","J","Phenylalanyl-tRNA synthetase beta subunit","1","1","1","1","1","1","1"
"COG0073","R","EMAP domain","3","3","3","3","3","3","3"
"COG0075","E","Serine-pyruvate aminotransferase/archaeal aspartate aminotransferase","1","2","1","1","1","1","1"
"COG0076","E","Glutamate decarboxylase and related PLP-dependent proteins","2","2","3","2","2","2","2"
"COG0077","E","Prephenate dehydratase","1","1","1","1","1","1","1"
"COG0078","E","Ornithine carbamoyltransferase","1","2","2","1","2","2","1"
"COG0080","J","Ribosomal protein L11","1","1","1","1","1","1","1"
"COG0081","J","Ribosomal protein L1","1","1","1","1","1","1","1"
"COG0082","E","Chorismate synthase","1","1","1","1","1","1","1"
"COG0084","L","Mg-dependent DNase","2","2","3","2","2","2","2"
"COG0085","K","DNA-directed RNA polymerase, beta subunit/140 kD subunit","1","1","1","1","1","1","1"
"COG0086","K","DNA-directed RNA polymerase, beta' subunit/160 kD subunit","1","1","1","1","1","1","1"
"COG0087","J","Ribosomal protein L3","1","2","1","1","1","1","1"
"COG0088","J","Ribosomal protein L4","1","1","1","1","1","1","1"
"COG0089","J","Ribosomal protein L23","1","1","1","1","1","1","1"
"COG0090","J","Ribosomal protein L2","1","1","1","1","1","1","1"
"COG0091","J","Ribosomal protein L22","1","1","1","1","1","1","1"
"COG0092","J","Ribosomal protein S3","1","1","1","1","1","1","1"
"COG0093","J","Ribosomal protein L14","1","1","1","1","1","1","1"
"COG0094","J","Ribosomal protein L5","1","1","1","1","1","1","1"
"COG0095","H","Lipoate-protein ligase A","3","2","2","2","2","3","2"
"COG0096","J","Ribosomal protein S8","1","1","1","1","1","1","1"
"COG0097","J","Ribosomal protein L6P/L9E","1","1","1","1","1","1","1"
"COG0098","J","Ribosomal protein S5","1","1","1","1","1","1","1",,,,,,,,
"COG0099","J","Ribosomal protein S13","1","1","1","1","1","1","1"
"COG0100","J","Ribosomal protein S11","1","1","1","1","1","1","1"
"COG0101","J","Pseudouridylate synthase","2","2","2","2","2","2","3"
"COG0102","J","Ribosomal protein L13","1","1","1","1","1","1","1"
"COG0103","J","Ribosomal protein S9","1","1","1","1","1","1","1"
"COG0104","F","Adenylosuccinate synthase","1","1","1","1","1","1","1"
"COG0105","F","Nucleoside diphosphate kinase","1","1","1","1","0","1","1"
"COG0108","H","3,4-dihydroxy-2-butanone 4-phosphate synthase","1","0","0","0","0","0","0"
"COG0110","R","Acetyltransferase (isoleucine patch superfamily)","3","2","3","2","2","2","3"
"COG0111","HE","Phosphoglycerate dehydrogenase and related dehydrogenases","2","4","3","3","3","3","3"
"COG0112","E","Glycine/serine hydroxymethyltransferase","1","2","1","1","2","1","2"
"COG0115","EH","Branched-chain amino acid aminotransferase/4-amino-4-deoxychorismate lyase","1","1","1","1","1","1","1"
"COG0116","L","Predicted N6-adenine-specific DNA methylase","1","1","1","1","1","1","1"
"COG0119","E","Isopropylmalate/homocitrate/citramalate synthases","0","0","0","1","0","0","0"
"COG0120","G","Ribose 5-phosphate isomerase","1","1","1","1","1","1","1"
"COG0124","J","Histidyl-tRNA synthetase","1","1","1","1","1","1","1"
"COG0125","F","Thymidylate kinase","1","1","1","1","1","1","1"
"COG0126","G","3-phosphoglycerate kinase","1","1","1","1","1","1","1"
"COG0127","F","Xanthosine triphosphate pyrophosphatase","1","1","1","1","1","1","1"
"COG0128","E","5-enolpyruvylshikimate-3-phosphate synthase","1","1","1","1","1","1","1"
"COG0130","J","Pseudouridine synthase","1","1","1","1","1","1","1"
"COG0136","E","Aspartate-semialdehyde dehydrogenase","1","1","1","1","1","1","1"
"COG0138","F","AICAR transformylase/IMP cyclohydrolase PurH (only IMP cyclohydrolase domain in Aful)","1","1","1","1","1","1","1"
"COG0142","H","Geranylgeranyl pyrophosphate synthase","2","1","2","2","2","2","2"
"COG0143","J","Methionyl-tRNA synthetase","1","1","1","1","1","1","1"
"COG0144","J","tRNA and rRNA cytosine-C5-methylases","2","2","2","2","2","2","2"
"COG0145","EQ","N-methylhydantoinase A/acetone carboxylase, beta subunit","1","1","1","1","1","1","1"
"COG0148","G","Enolase","1","1","1","1","1","1","1"
"COG0149","G","Triosephosphate isomerase","1","1","1","1","1","1","1"
"COG0150","F","Phosphoribosylaminoimidazole (AIR) synthetase","1","1","1","1","1","1","2"
"COG0151","F","Phosphoribosylamine-glycine ligase","1","1","1","1","1","1","1"
"COG0152","F","Phosphoribosylaminoimidazolesuccinocarboxamide (SAICAR) synthase","1","1","1","1","1","1","1"
"COG0153","G","Galactokinase","1","1","1","1","1","1","1"
"COG0154","J","Asp-tRNAAsn/Glu-tRNAGln amidotransferase A subunit and related amidases","2","2","2","2","2","2","2"
"COG0156","H","7-keto-8-aminopelargonate synthetase and related enzymes","1","1","1","1","1","1","1"
"COG0162","J","Tyrosyl-tRNA synthetase","1","1","1","1","1","1","1"
"COG0163","H","3-polyprenyl-4-hydroxybenzoate decarboxylase","1","1","1","1","1","1","1"
"COG0164","L","Ribonuclease HII","1","1","1","1","1","1","1"
"COG0166","G","Glucose-6-phosphate isomerase","2","1","1","1","1","1","1"
"COG0167","F","Dihydroorotate dehydrogenase","2","2","2","2","2","2","2"
"COG0168","P","Trk-type K+ transport systems, membrane components","2","2","2","2","2","2","2"
"COG0169","E","Shikimate 5-dehydrogenase","1","1","1","1","1","1","1"
"COG0171","H","NAD synthase","1","1","1","1","1","1","1"
"COG0172","J","Seryl-tRNA synthetase","1","1","1","1","1","1","1"
"COG0173","J","Aspartyl-tRNA synthetase","1","1","1","1","1","1","1"
"COG0174","E","Glutamine synthetase","1","1","1","1","1","1","1"
"COG0176","G","Transaldolase","0","1","1","1","1","0","1"
"COG0177","L","Predicted EndoIII-related endonuclease","1","1","1","1","1","1","1"
"COG0178","L","Excinuclease ATPase subunit","4","1","1","1","3","1","1"
"COG0180","J","Tryptophanyl-tRNA synthetase","1","1","1","1","1","1","1"
"COG0183","I","Acetyl-CoA acetyltransferase","1","2","1","1","1","1","1"
"COG0184","J","Ribosomal protein S15P/S13E","1","1","1","1","1","1","1"
"COG0185","J","Ribosomal protein S19","1","1","1","1","1","1","1"
"COG0186","J","Ribosomal protein S17","1","1","1","1","1","1","1"
"COG0187","L","Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), B subunit","2","2","2","2","2","2","3"
"COG0188","L","Type IIA topoisomerase (DNA gyrase/topo II, topoisomerase IV), A subunit","2","2","2","2","2","2","2"
"COG0190","H","5,10-methylene-tetrahydrofolate dehydrogenase/Methenyl tetrahydrofolate cyclohydrolase","1","1","1","1","1","1","1"
"COG0191","G","Fructose/tagatose bisphosphate aldolase","3","3","3","3","3","3","3"
"COG0192","H","S-adenosylmethionine synthetase","1","1","1","1","1","1","1"
"COG0193","J","Peptidyl-tRNA hydrolase","1","1","1","1","1","1","1"
"COG0194","F","Guanylate kinase","2","2","2","2","2","2","2"
"COG0195","K","Transcription elongation factor","1","1","1","1","1","1","1"
"COG0196","H","FAD synthase","1","1","1","1","1","1","1"
"COG0197","J","Ribosomal protein L16/L10E","1","1","1","1","1","1","1"
"COG0198","J","Ribosomal protein L24","1","1","1","1","1","1","2"
"COG0199","J","Ribosomal protein S14","2","2","2","3","2","3","3"
"COG0200","J","Ribosomal protein L15","1","1","1","1","1","1","1"
"COG0201","U","Preprotein translocase subunit SecY","1","2","1","1","1","1","1"
"COG0202","K","DNA-directed RNA polymerase, alpha subunit/40 kD subunit","1","1","1","1","1","1","1"
"COG0203","J","Ribosomal protein L17","1","1","1","1","1","1","1"
"COG0204","I","1-acyl-sn-glycerol-3-phosphate acyltransferase","1","1","1","1","1","1","1"
"COG0205","G","6-phosphofructokinase","1","1","1","1","1","1","1"
"COG0206","D","Cell division GTPase","1","1","1","1","1","1","1"
"COG0207","F","Thymidylate synthase","1","1","1","1","1","1","1"
"COG0208","F","Ribonucleotide reductase, beta subunit","3","3","1","1","1","1","1"
"COG0209","F","Ribonucleotide reductase, alpha subunit","3","4","1","1","1","1","1"
"COG0210","L","Superfamily I DNA and RNA helicases","2","2","2","2","4","4","3"
"COG0211","J","Ribosomal protein L27","1","1","1","1","1","1","1"
"COG0212","H","5-formyltetrahydrofolate cyclo-ligase","1","1","1","1","1","1","1"
"COG0213","F","Thymidine phosphorylase","1","1","1","1","1","1","1"
"COG0215","J","Cysteinyl-tRNA synthetase","1","1","1","1","1","1","1"
"COG0216","J","Protein chain release factor A","1","1","1","1","1","1","1"
"COG0217","S","Uncharacterized conserved protein","2","2","2","2","2","2","2"
"COG0218","R","Predicted GTPase","1","1","1","1","1","1","1"
"COG0219","J","Predicted rRNA methylase (SpoU class)","1","1","1","1","1","1","1"
"COG0220","R","Predicted S-adenosylmethionine-dependent methyltransferase","1","1","1","1","1","1","1"
"COG0222","J","Ribosomal protein L7/L12","1","1","1","1","1","1","1"
"COG0223","J","Methionyl-tRNA formyltransferase","1","1","1","1","1","1","1"
"COG0224","C","F0F1-type ATP synthase, gamma subunit","1","1","1","1","1","1","1"
"COG0225","O","Peptide methionine sulfoxide reductase","5","4","3","4","3","3","3"
"COG0226","P","ABC-type phosphate transport system, periplasmic component","2","2","2","2","2","2","2"
"COG0227","J","Ribosomal protein L28","1","1","1","1","1","1","1"
"COG0228","J","Ribosomal protein S16","1","1","1","1","1","1","1"
"COG0229","O","Conserved domain frequently associated with peptide methionine sulfoxide reductase","1","1","1","1","1","1","1"
"COG0230","J","Ribosomal protein L34","1","1","1","1","1","1","1"
"COG0231","J","Translation elongation factor P (EF-P)/translation initiation factor 5A (eIF-5A)","1","1","1","1","1","1","1"
"COG0233","J","Ribosome recycling factor","1","1","1","1","1","1","1"
"COG0234","O","Co-chaperonin GroES (HSP10)","1","1","1","1","1","1","1"
"COG0235","G","Ribulose-5-phosphate 4-epimerase and related epimerases and aldolases","4","2","4","4","4","4","4"
"COG0236","IQ","Acyl carrier protein","3","3","3","3","3","3","4"
"COG0237","H","Dephospho-CoA kinase","1","1","1","1","1","1","1"
"COG0238","J","Ribosomal protein S18","1","1","1","1","1","1","1"
"COG0240","C","Glycerol-3-phosphate dehydrogenase","2","2","2","2","2","2","3"
"COG0241","E","Histidinol phosphatase and related phosphatases","0","0","1","0","0","0","0"
"COG0242","J","N-formylmethionyl-tRNA deformylase","2","2","2","2","2","2","2"
"COG0244","J","Ribosomal protein L10","1","1","1","1","1","1","1"
"COG0246","G","Mannitol-1-phosphate/altronate dehydrogenases","3","2","3","3","4","3","3"
"COG0247","C","Fe-S oxidoreductase","0","0","0","0","1","0","0"
"COG0249","L","Mismatch repair ATPase (MutS family)","2","2","2","2","2","2","2"
"COG0250","K","Transcription antiterminator","1","1","1","1","1","1","1"
"COG0252","EJ","L-asparaginase/archaeal Glu-tRNAGln amidotransferase subunit D","1","1","1","1","2","1","1"
"COG0253","E","Diaminopimelate epimerase","1","1","1","1","1","1","1"
"COG0254","J","Ribosomal protein L31","1","1","1","1","1","1","1"
"COG0255","J","Ribosomal protein L29","1","1","1","1","1","1","1"
"COG0256","J","Ribosomal protein L18","1","1","1","1","1","1","1"
"COG0257","J","Ribosomal protein L36","0","0","0","1","0","1","0"
"COG0258","L","5'-3' exonuclease (including N-terminal domain of PolI)","1","1","1","1","1","1","1"
"COG0261","J","Ribosomal protein L21","1","1","1","1","1","1","1"
"COG0262","H","Dihydrofolate reductase","3","3","3","3","3","3","5"
"COG0263","E","Glutamate 5-kinase","1","1","1","1","1","1","1"
"COG0264","J","Translation elongation factor Ts","1","1","1","1","1","1","1"
"COG0265","O","Trypsin-like serine proteases, typically periplasmic, contain C-terminal PDZ domain","1","1","1","1","1","1","1"
"COG0266","L","Formamidopyrimidine-DNA glycosylase","1","1","1","1","1","1","1"
"COG0267","J","Ribosomal protein L33","2","2","2","3","2","3","3"
"COG0268","J","Ribosomal protein S20","1","1","1","1","1","1","1"
"COG0269","G","3-hexulose-6-phosphate synthase and related proteins","1","1","1","1","1","1","1"
"COG0270","L","Site-specific DNA methylase","2","0","1","2","0","2","1"
"COG0272","L","NAD-dependent DNA ligase (contains BRCT domain type II)","1","1","1","1","1","1","2"
"COG0274","F","Deoxyribose-phosphate aldolase","1","2","1","1","1","1","1"
"COG0275","M","Predicted S-adenosylmethionine-dependent methyltransferase involved in cell envelope biogenesis","1","1","1","1","1","1","1"
"COG0280","C","Phosphotransacetylase","1","1","1","1","1","1","1"
"COG0281","C","Malic enzyme","1","1","2","1","1","2","2"
"COG0282","C","Acetate kinase","1","1","1","1","1","1","1"
"COG0283","F","Cytidylate kinase","1","1","1","1","1","1","1"
"COG0284","F","Orotidine-5'-phosphate decarboxylase","1","1","1","1","1","1","1"
"COG0285","H","Folylpolyglutamate synthase","1","1","1","1","1","1","1"
"COG0286","V","Type I restriction-modification system methyltransferase subunit","2","1","0","1","1","2","1"
"COG0287","E","Prephenate dehydrogenase","1","1","1","1","1","1","1"
"COG0289","E","Dihydrodipicolinate reductase","1","1","1","1","1","1","1"
"COG0290","J","Translation initiation factor 3 (IF-3)","1","1","1","1","1","1","1"
"COG0291","J","Ribosomal protein L35","1","1","1","1","1","1","1"
"COG0292","J","Ribosomal protein L20","1","1","1","1","1","1","1"
"COG0295","F","Cytidine deaminase","2","1","1","1","1","1","1"
"COG0299","F","Folate-dependent phosphoribosylglycinamide formyltransferase PurN","1","1","1","1","1","1","1"
"COG0300","R","Short-chain dehydrogenases of various substrate specificities","1","1","1","1","1","1","1"
"COG0301","H","Thiamine biosynthesis ATP pyrophosphatase","1","1","1","1","1","1","1"
"COG0302","H","GTP cyclohydrolase I","0","0","1","0","0","0","0"
"COG0304","IQ","3-oxoacyl-(acyl-carrier-protein) synthase","1","1","1","1","1","1","1"
"COG0305","L","Replicative DNA helicase","1","1","1","1","2","1","1"
"COG0313","R","Predicted methyltransferases","1","1","1","1","1","1","1"
"COG0317","TK","Guanosine polyphosphate pyrophosphohydrolases/synthetases","1","1","1","1","1","1","1"
"COG0319","R","Predicted metal-dependent hydrolase","1","1","1","1","1","1","1"
"COG0322","L","Nuclease subunit of the excinuclease complex","2","2","2","2","2","2","2"
"COG0323","L","DNA mismatch repair enzyme (predicted ATPase)","1","1","1","1","1","1","1"
"COG0324","J","tRNA delta(2)-isopentenylpyrophosphate transferase","1","1","1","1","1","1","1"
"COG0325","R","Predicted enzyme with a TIM-barrel fold","1","1","1","1","1","1","1"
"COG0327","S","Uncharacterized conserved protein","1","1","1","1","2","1","1"
"COG0328","L","Ribonuclease HI","1","1","1","1","1","1","1"
"COG0329","EM","Dihydrodipicolinate synthase/N-acetylneuraminate lyase","2","1","1","1","1","1","1"
"COG0330","O","Membrane protease subunits, stomatin/prohibitin homologs","1","1","1","1","2","1","1"
"COG0331","I","(acyl-carrier-protein) S-malonyltransferase","2","2","2","2","1","1","2"
"COG0332","I","3-oxoacyl-[acyl-carrier-protein","1","1","1","1","1","1","1"
"COG0333","J","Ribosomal protein L32","1","1","1","2","1","2","2"
"COG0334","E","Glutamate dehydrogenase/leucine dehydrogenase","1","1","1","1","1","1","1"
"COG0335","J","Ribosomal protein L19","1","1","1","1","1","1","1"
"COG0336","J","tRNA-(guanine-N1)-methyltransferase","1","1","1","1","1","1","1"
"COG0337","E","3-dehydroquinate synthetase","2","2","2","2","2","2","2"
"COG0340","H","Biotin-(acetyl-CoA carboxylase) ligase","1","1","1","1","1","1","1"
"COG0343","J","Queuine/archaeosine tRNA-ribosyltransferase","1","1","1","1","1","1","1"
"COG0344","S","Predicted membrane protein","1","1","1","1","1","1","1"
"COG0345","E","Pyrroline-5-carboxylate reductase","1","1","1","1","1","1","1"
"COG0346","E","Lactoylglutathione lyase and related lyases","7","4","5","6","5","8","5"
"COG0347","E","Nitrogen regulatory protein PII","1","1","1","1","1","1","1"
"COG0349","J","Ribonuclease D","0","0","0","1","1","0","0"
"COG0350","L","Methylated DNA-protein cysteine methyltransferase","1","1","1","1","1","1","1"
"COG0351","H","Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase","2","2","2","2","2","2","2"
"COG0353","L","Recombinational DNA repair protein (RecF pathway)","1","1","1","1","1","1","1"
"COG0355","C","F0F1-type ATP synthase, epsilon subunit (mitochondrial delta subunit)","1","1","1","1","1","1","1"
"COG0356","C","F0F1-type ATP synthase, subunit a","1","1","1","1","1","1","1"
"COG0357","M","Predicted S-adenosylmethionine-dependent methyltransferase involved in bacterial cell division","1","1","1","1","1","1","1"
"COG0358","L","DNA primase (bacterial type)","1","1","1","1","2","1","1"
"COG0359","J","Ribosomal protein L9","1","1","1","1","1","1","1"
"COG0360","J","Ribosomal protein S6","1","1","1","1","1","1","1"
"COG0361","J","Translation initiation factor 1 (IF-1)","1","1","1","1","1","1","1"
"COG0362","G","6-phosphogluconate dehydrogenase","1","1","1","1","1","1","1"
"COG0363","G","6-phosphogluconolactonase/Glucosamine-6-phosphate isomerase/deaminase","1","1","1","1","1","1","1"
"COG0364","G","Glucose-6-phosphate 1-dehydrogenase","1","1","2","1","1","1","1"
"COG0365","I","Acyl-coenzyme A synthetases/AMP-(fatty) acid ligases","1","1","1","1","1","1","1"
"COG0366","G","Glycosidases","9","7","5","5","5","7","5"
"COG0367","E","Asparagine synthase (glutamine-hydrolyzing)","1","1","1","1","1","1","1"
"COG0370","P","Fe2+ transport system protein B","1","1","1","1","1","1","1"
"COG0371","C","Glycerol dehydrogenase and related enzymes","1","1","2","2","1","2","2"
"COG0381","M","UDP-N-acetylglucosamine 2-epimerase","1","0","1","0","0","0","1"
"COG0383","G","Alpha-mannosidase","2","2","1","1","2","2","2"
"COG0384","R","Predicted epimerase, PhzC/PhzF homolog","1","1","1","1","1","1","1"
"COG0386","O","Glutathione peroxidase","1","1","1","1","1","1","1"
"COG0389","L","Nucleotidyltransferase/DNA polymerase involved in DNA repair","2","3","7","3","8","3","4"
"COG0390","R","ABC-type uncharacterized transport system, permease component","1","1","0","0","0","0","0"
"COG0391","S","Uncharacterized conserved protein","1","1","1","1","1","1","1"
"COG0392","S","Predicted integral membrane protein","3","3","4","4","4","4","4"
"COG0393","S","Uncharacterized conserved protein","1","1","1","1","1","1","1"
"COG0394","T","Protein-tyrosine-phosphatase","2","1","2","2","2","2","1"
"COG0395","G","ABC-type sugar transport system, permease component","8","6","8","9","10","9","11"
"COG0396","O","ABC-type transport system involved in Fe-S cluster assembly, ATPase component","1","1","1","1","1","1","1"
"COG0398","S","Uncharacterized conserved protein","3","3","3","4","3","3","3"
"COG0399","M","Predicted pyridoxal phosphate-dependent enzyme apparently involved in regulation of cell wall biogenesis","1","0","0","0","0","2","2"
"COG0400","R","Predicted esterase","2","0","1","1","1","1","1"
"COG0406","G","Fructose-2,6-bisphosphatase","3","3","3","3","3","3","3"
"COG0413","H","Ketopantoate hydroxymethyltransferase","0","0","0","0","1","1","1"
"COG0414","H","Panthothenate synthetase","0","0","0","0","1","1","1"
"COG0416","I","Fatty acid/phospholipid biosynthesis enzyme","1","1","1","1","1","1","1"
"COG0419","L","ATPase involved in DNA repair","1","1","1","1","4","1","1"
"COG0420","L","DNA repair exonuclease","2","2","2","2","2","2","2"
"COG0424","D","Nucleotide-binding protein implicated in inhibition of septum formation","1","1","1","1","1","1","1"
"COG0428","P","Predicted divalent heavy-metal cations transporter","1","1","1","1","1","1","1"
"COG0431","R","Predicted flavoprotein","1","1","1","1","1","1","1"
"COG0432","S","Uncharacterized conserved protein","0","0","0","0","1","1","1"
"COG0433","R","Predicted ATPase","1","0","0","0","0","0","0"
"COG0436","E","Aspartate/tyrosine/aromatic aminotransferase","4","4","4","4","4","4","4"
"COG0438","M","Glycosyltransferase","5","2","4","5","6","5","3"
"COG0439","I","Biotin carboxylase","1","1","1","1","1","1","1"
"COG0441","J","Threonyl-tRNA synthetase","1","1","1","1","2","1","1"
"COG0442","J","Prolyl-tRNA synthetase","1","1","1","1","1","1","1"
"COG0443","O","Molecular chaperone","1","2","1","1","2","2","1"
"COG0444","EP","ABC-type dipeptide/oligopeptide/nickel transport system, ATPase component","3","2","2","2","2","2","3"
"COG0445","D","NAD/FAD-utilizing enzyme apparently involved in cell division","1","1","1","1","1","1","1"
"COG0446","R","Uncharacterized NAD(FAD)-dependent dehydrogenases","6","7","6","8","8","7","7"
"COG0449","M","Glucosamine 6-phosphate synthetase, contains amidotransferase and phosphosugar isomerase domains","2","2","2","2","2","2","5"
"COG0450","O","Peroxiredoxin","1","2","1","1","1","1","1"
"COG0451","MG","Nucleoside-diphosphate-sugar epimerases","3","2","6","3","2","3","2"
"COG0452","H","Phosphopantothenoylcysteine synthetase/decarboxylase","2","2","2","2","2","2","2"
"COG0454","KR","Histone acetyltransferase HPA2 and related acetyltransferases","15","12","14","15","13","15","15"
"COG0456","R","Acetyltransferases","2","3","3","3","3","3","3"
"COG0457","R","FOG: TPR repeat","1","1","1","1","1","1","1"
"COG0458","EF","Carbamoylphosphate synthase large subunit (split gene in MJ)","1","1","1","1","1","2","1"
"COG0459","O","Chaperonin GroEL (HSP60 family)","1","1","1","1","1","1","1"
"COG0461","F","Orotate phosphoribosyltransferase","1","1","1","1","1","1","1"
"COG0462","FE","Phosphoribosylpyrophosphate synthetase","2","2","2","2","2","2","2"
"COG0463","M","Glycosyltransferases involved in cell wall biogenesis","7","7","7","8","7","9","7"
"COG0464","O","ATPases of the AAA+ class","0","0","0","0","0","1","1"
"COG0465","O","ATP-dependent Zn proteases","1","1","1","1","1","1","1"
"COG0468","L","RecA/RadA recombinase","1","1","1","1","1","2","1"
"COG0469","G","Pyruvate kinase","1","1","1","1","1","1","1"
"COG0470","L","ATPase involved in DNA replication","1","1","1","1","1","1","1"
"COG0471","P","Di- and tricarboxylate transporters","1","0","1","1","0","0","1"
"COG0472","M","UDP-N-acetylmuramyl pentapeptide phosphotransferase/UDP-N-acetylglucosamine-1-phosphate transferase","2","2","2","2","2","2","2"
"COG0474","P","Cation transport ATPase","6","7","6","6","6","7","6"
"COG0475","P","Kef-type K+ transport systems, membrane components","1","1","1","1","1","2","1"
"COG0476","H","Dinucleotide-utilizing enzymes involved in molybdopterin and thiamine biosynthesis family 2","0","0","0","0","0","1","1"
"COG0477","GEPR","Permeases of the major facilitator superfamily","16","19","16","21","20","19","25"
"COG0480","J","Translation elongation factors (GTPases)","1","1","1","2","2","1","1"
"COG0481","M","Membrane GTPase LepA","1","1","1","1","1","1","1"
"COG0482","J","Predicted tRNA(5-methylaminomethyl-2-thiouridylate) methyltransferase, contains the PP-loop ATPase domain","1","1","1","1","1","1","1"
"COG0483","G","Archaeal fructose-1,6-bisphosphatase and related enzymes of inositol monophosphatase family","1","1","1","1","1","1","1"
"COG0484","O","DnaJ-class molecular chaperone with C-terminal Zn finger domain","2","1","1","1","1","2","1"
"COG0486","R","Predicted GTPase","1","1","1","1","1","1","1"
"COG0488","R","ATPase components of ABC transporters with duplicated ATPase domains","6","9","8","7","8","8","8"
"COG0489","D","ATPases involved in chromosome partitioning","2","0","1","1","1","1","1"
"COG0490","P","Putative regulatory, ligand-binding protein related to C-terminal domains of K+ channels","1","1","1","1","1","1","1"
"COG0491","R","Zn-dependent hydrolases, including glyoxylases","1","1","1","1","1","1","1"
"COG0492","O","Thioredoxin reductase","2","2","2","2","2","2","2"
