"dN exon2","dS exon2","dN-dS exon2","exon1 names",,"dN exon1","dS exon1","dN-dS exon1","exon1 names"
"0.513","0.579","-0.0659999999999999","pca_Defb103 vs DEFB109",,"0.475","0.739","-0.264","pca_Defb104 vs DEFB109"
"0.536","0.398","0.138","pca_Defb103 vs DEFB108",,"0.409","0.78","-0.371","pca_Defb104 vs DEFB108"
"0.58","0.267","0.313","pca_Defb103 vs DEFB107",,"0.404","0.677","-0.273","pca_Defb104 vs DEFB107"
"0.557","0.403","0.154","pca_Defb103 vs pca_Defb1",,"0.552","0.869","-0.317","pca_Defb104 vs pca_Defb1"
"0.492","0.414","0.078","pca_Defb103 vs pca_Defb4",,"0.469","0.677","-0.208","pca_Defb104 vs pca_Defb103"
"0.738","0.355","0.383","pca_Defb104 vs DEFB1",,"0.481","0.937","-0.456","pca_Defb105 vs DEFB1"
"0.526","0.425","0.101","pca_Defb104 vs DEFB4",,"0.358","0.661","-0.303","pca_Defb105 vs DEFB4"
"0.627","0.43","0.197","pca_Defb104 vs DEFB103",,"0.373","0.508","-0.135","pca_Defb105 vs DEFB103"
"0.061","0","0.061","pca_Defb104 vs DEFB104",,"0.469","0.496","-0.027","pca_Defb105 vs DEFB104"
"0.555","0.396","0.159","pca_Defb104 vs DEFB106",,"0.276","0.643","-0.367","pca_Defb105 vs DEFB106"
"0.571","0.591","-0.02","pca_Defb104 vs DEFB105",,"0.061","0.222","-0.161","pca_Defb105 vs DEFB105"
"0.449","0.533","-0.084","pca_Defb104 vs DEFB109",,"0.561","0.807","-0.246","pca_Defb105 vs DEFB109"
"0.423","0.429","-0.00600000000000001","pca_Defb104 vs DEFB108",,"0.45","0.577","-0.127","pca_Defb105 vs DEFB108"
"0.493","0.521","-0.028","pca_Defb104 vs DEFB107",,"0.338","0.737","-0.399","pca_Defb105 vs DEFB107"
"0.712","0.364","0.348","pca_Defb104 vs pca_Defb1",,"0.481","0.937","-0.456","pca_Defb105 vs pca_Defb1"
"0.553","0.581","-0.0279999999999999","pca_Defb104 vs pca_Defb4",,"0.385","0.474","-0.089","pca_Defb105 vs pca_Defb103"
"0.563","0.437","0.126","pca_Defb104 vs pca_Defb103",,"0.515","0.55","-0.035","pca_Defb105 vs pca_Defb104"
"0.457","0.616","-0.159","pca_Defb105 vs DEFB1",,"0.402","0.413","-0.011","pca_Defb106 vs DEFB1"
"0.526","0.542","-0.016","pca_Defb105 vs DEFB4",,"0.415","0.678","-0.263","pca_Defb106 vs DEFB4"
"0.534","0.575","-0.0409999999999999","pca_Defb105 vs DEFB103",,"0.358","0.559","-0.201","pca_Defb106 vs DEFB103"
"0.572","0.585","-0.013","pca_Defb105 vs DEFB104",,"0.453","0.992","-0.539","pca_Defb106 vs DEFB104"
"0.473","0.52","-0.047","pca_Defb105 vs DEFB106",,"0.031","0.107","-0.076","pca_Defb106 vs DEFB106"
"0.081","0","0.081","pca_Defb105 vs DEFB105",,"0.303","0.556","-0.253","pca_Defb106 vs DEFB105"
"0.587","0.544","0.0429999999999999","pca_Defb105 vs DEFB109",,"0.343","0.807","-0.464","pca_Defb106 vs DEFB109"
"0.521","0.498","0.023","pca_Defb105 vs DEFB108",,"0.345","0.519","-0.174","pca_Defb106 vs DEFB108"
"0.504","0.67","-0.166","pca_Defb105 vs DEFB107",,"0.308","0.737","-0.429","pca_Defb106 vs DEFB107"
"0.494","0.63","-0.136","pca_Defb105 vs pca_Defb1",,"0.402","0.413","-0.011","pca_Defb106 vs pca_Defb1"
"0.567","0.491","0.076","pca_Defb105 vs pca_Defb4",,"0.354","0.474","-0.12","pca_Defb106 vs pca_Defb103"
"0.513","0.578","-0.0649999999999999","pca_Defb105 vs pca_Defb103",,"0.499","0.962","-0.463","pca_Defb106 vs pca_Defb104"
"0.569","0.597","-0.028","pca_Defb105 vs pca_Defb104",,"0.306","0.75","-0.444","pca_Defb106 vs pca_Defb105"
"0.513","0.577","-0.0639999999999999","pca_Defb106 vs DEFB1",,"0.497","0.607","-0.11","pca_Defb107 vs DEFB1"
"0.527","0.54","-0.013","pca_Defb106 vs DEFB4",,,,"0","pca_Defb107 vs DEFB4"
"0.592","0.645","-0.053","pca_Defb106 vs DEFB103",,"0.374","0.719","-0.345","pca_Defb107 vs DEFB103"
"0.602","0.382","0.22","pca_Defb106 vs DEFB104",,"0.432","0.605","-0.173","pca_Defb107 vs DEFB104"
"0.102","0.179","-0.077","pca_Defb106 vs DEFB106",,"0.242","0.889","-0.647","pca_Defb107 vs DEFB106"
"0.555","0.579","-0.0239999999999999","pca_Defb106 vs DEFB105",,"0.31","0.538","-0.228","pca_Defb107 vs DEFB105"
"0.469","0.473","-0.004","pca_Defb106 vs DEFB109",,"0.494","0.417","0.077","pca_Defb107 vs DEFB109"
"0.568","0.66","-0.0920000000000001","pca_Defb106 vs DEFB108",,"0.416","0.96","-0.544","pca_Defb107 vs DEFB108"
"0.559","0.628","-0.069","pca_Defb106 vs DEFB107",,"0.061","0","0.061","pca_Defb107 vs DEFB107"
"0.543","0.552","-0.00900000000000001","pca_Defb106 vs pca_Defb1",,"0.497","0.607","-0.11","pca_Defb107 vs pca_Defb1"
"0.539","0.561","-0.022","pca_Defb106 vs pca_Defb4",,"0.401","0.745","-0.344","pca_Defb107 vs pca_Defb103"
"0.534","0.633","-0.099","pca_Defb106 vs pca_Defb103",,"0.477","0.567","-0.09","pca_Defb107 vs pca_Defb104"
"0.598","0.39","0.208","pca_Defb106 vs pca_Defb104",,"0.273","0.778","-0.505","pca_Defb107 vs pca_Defb105"
"0.506","0.6","-0.094","pca_Defb106 vs pca_Defb105",,"0.273","0.778","-0.505","pca_Defb107 vs pca_Defb106"
"0.538","0.391","0.147","pca_Defb107 vs DEFB1"
"0.499","0.384","0.115","pca_Defb107 vs DEFB4"
"0.53","0.236","0.294","pca_Defb107 vs DEFB103"
"0.517","0.51","0.00700000000000001","pca_Defb107 vs DEFB104"
"0.481","0.497","-0.016","pca_Defb107 vs DEFB106"
"0.567","0.603","-0.036","pca_Defb107 vs DEFB105"
"0.479","0.441","0.038","pca_Defb107 vs DEFB109"
"0.4","0.625","-0.225","pca_Defb107 vs DEFB108"
"0.04","0","0.04","pca_Defb107 vs DEFB107"
"0.554","0.401","0.153","pca_Defb107 vs pca_Defb1"
"0.466","0.31","0.156","pca_Defb107 vs pca_Defb4"
"0.549","0.238","0.311","pca_Defb107 vs pca_Defb103"
"0.473","0.521","-0.048","pca_Defb107 vs pca_Defb104"
"0.524","0.609","-0.085","pca_Defb107 vs pca_Defb105"
"0.523","0.612","-0.089","pca_Defb107 vs pca_Defb106"

