"Supplementary Table 2:  Genes represented by more than two prostate ESTs and expressed in fewer than two tissues in addition to prostate"
"Mm.110751",,"ESTs Highly similar to protein tyrosine phosphatase receptor type f polypeptide (PTPRF) interacting protein (liprin) alpha 2 [Homo sapiens]",,"pituitary gland"
"Mm.114047",,"EST",,"cerebellum"
"Mm.114600",,"EST",,"wolffian duct includes surrounding region"
"Mm.117555",,"ESTs Moderately similar to S12207 hypothetical protein (B2 element) - mouse",,"activated spleen ;mammary gland"
"Mm.118194",,"EST",,"embryonic body from diaphragm to neck"
"Mm.118350",,"RIKEN cDNA 9530003J23 gene",,"urinary bladder"
"Mm.118478",,"EST",,"urinary bladder"
"Mm.118638",,"ESTs Moderately similar to tankyrase 2 [Homo sapiens]",,"urinary bladder ;testis"
"Mm.118668",,"ESTs",,"urinary bladder"
"Mm.118769",,"seminal vesicle secretion 3",,"urogenital ;adipose"
"Mm.118804",,"ESTs Weakly similar to ASPX MOUSE Acrosomal protein SP-10 precursor (Acrosomal vesicle protein-1) (MSA-63) [M.musculus]",,"urogential ;thymus ;placenta"
"Mm.118836",,"EST",,"urinary bladder"
"Mm.118845",,"RIKEN cDNA 5430419D17 gene",,"urinary bladder ;head"
"Mm.118888",,"ESTs",,"forelimb ;urinary bladder"
"Mm.119039",,"EST Weakly similar to RIKEN cDNA 5730493B19 [Mus musculus]",,"tumor biopsy sample"
"Mm.119570",,"EST",,"bone"
"Mm.120090",,"ESTs",,"whole embryo including extraembryonic tissues at 7.5-days postcoitum ;vagina"
"Mm.120247",,"EST",,"vagina"
"Mm.120409",,"EST",,"thymus"
"Mm.120443",,"ESTs",,"thymus"
"Mm.121315",,"ESTs",,"hypothalamus"
"Mm.121368",,"ESTs",,"hypothalamus"
"Mm.121414",,"ESTs",,"hypothalamus"
"Mm.121495",,"EST",,"hypothalamus"
"Mm.121603",,"ESTs",,"hypothalamus ;kidney"
"Mm.121754",,"EST",,"spinal cord"
"Mm.122231",,"EST",,"spinal cord"
"Mm.122478",,"ESTs Moderately similar to S-adenosylhomocysteine hydrolase-like 1; S-adenosyl homocysteine hydrolase homolog [Homo sapiens]",,"thymus"
"Mm.122545",,"EST",,"thymus"
"Mm.122565",,"ESTs",,"thymus"
"Mm.123338",,"ESTs",,"aorta and vein"
"Mm.123371",,"ESTs Moderately similar to S12207 hypothetical protein (B2 element) - mouse",,"spinal cord ;aorta and vein"
"Mm.123534",,"EST",,"aorta and vein"
"Mm.123774",,"ESTs",,"Spleen ;thymus"
"Mm.123930",,"ESTs",,"thymus ;embryonic body between diaphragm region and neck"
"Mm.124430",,"ESTs",,"thymus ;fetus"
"Mm.124490",,"ESTs",,"thymus"
"Mm.124968",,"ESTs",,"cerebellum ;Rathke's pouches"
"Mm.125167",,"EST",,"cerebellum"
"Mm.126534",,"EST",,"corpus striatum"
"Mm.126680",,"ESTs Weakly similar to phosphatase [Caenorhabditis elegans]",,"head ;Rathke's pouches"
"Unigene",,"Unigene Description",,"Tissue"
"Mm.126864",,"ESTs",,"head"
"Mm.126951",,"ESTs",,"head ;olfactory epithelium"
"Mm.127026",,"ESTs",,"head ;urinary bladder"
"Mm.127148",,"ESTs",,"cerebellum ;head"
"Mm.129701",,"ESTs",,"tumor biopsy sample"
"Mm.130127",,"ESTs",,"spinal ganglion"
"Mm.130148",,"ESTs",,"spinal ganglion"
"Mm.130437",,"EST",,"eyeball"
"Mm.130480",,"ESTs",,"eyeball"
"Mm.130625",,"EST",,"heart"
"Mm.130903",,"EST",,"thymus"
"Mm.130966",,"ESTs",,"thymus ;head"
"Mm.131116",,"ESTs",,"spinal cord"
"Mm.131325",,"ESTs Weakly similar to mouse nuclear localization signals binding protein 1",,"thymus ;inner ear"
"Mm.131400",,"ESTs",,"thymus ;whole skin"
"Mm.131555",,"ESTs",,"cortex ;kidney"
"Mm.132174",,"ESTs",,"head ;diaphragm"
"Mm.132244",,"ESTs",,"thymus ;head"
"Mm.132323",,"ESTs Weakly similar to melanoma antigen 80 kDa [Mus musculus]",,"cerebellum ;urinary bladder"
"Mm.132872",,"EST",,"urinary bladder"
"Mm.133100",,"ESTs",,"hypothalamus"
"Mm.133118",,"ESTs",,"thymus ;testis"
"Mm.134233",,"EST",,"retina"
"Mm.134244",,"ESTs",,"retina"
"Mm.134379",,"EST",,"retina"
"Mm.134449",,"ESTs Highly similar to DJA1 MOUSE DnaJ homolog subfamily A member 1 (Heat shock 40 kDa protein 4) [M.musculus]",,"retina ;tumor"
"Mm.135248",,"EST",,"Spleen"
"Mm.135655",,"ESTs",,"Thymus ;uterus"
"Mm.136666",,"ESTs",,"lung"
"Mm.136844",,"ESTs",,"lung"
"Mm.137646",,"ESTs",,"ovary"
"Mm.138076",,"ESTs",,"head ;thymus"
"Mm.138160",,"EST",,"lung"
"Mm.138210",,"RIKEN cDNA 2900072G11 gene",,"stomach ;hippocampus"
"Mm.138581",,"EST",,"heart"
"Mm.138752",,"ESTs",,"mammary gland"
"Mm.139071",,"ESTs",,"Thymus"
"Mm.139214",,"ESTs",,"mammary gland"
"Mm.139273",,"ESTs",,"mammary gland ;melanoma"
"Mm.139891",,"ESTs",,"Thymus"
"Mm.139936",,"ESTs",,"Thymus ;whole skin"
"Mm.141485",,"ESTs Weakly similar to transmembrane protein 8",,"testis ;hypothalamus"
"Mm.143501",,"seminal vesicle protein secretion 2",,"urogenital ;aorta and vein"
"Mm.144738",,"ESTs",,"thymus"
"Mm.145116",,"ESTs",,"cerebellum"
"Mm.145224",,"EST",,"cortex"
"Mm.145279",,"EST",,"cortex"
"Mm.147104",,"ESTs",,"corpora quadrigemina"
"Mm.149524",,"ESTs",,"medulla oblongata"
"Mm.150385",,"EST Moderately similar to S12207 hypothetical protein (B2 element) - mouse",,"NIH_BMAP_M_S4"
"Mm.150403",,"ESTs",,"whole body"
"Mm.150413",,"ESTs",,"NIH_BMAP_M_S4"
"Mm.150604",,"ESTs",,"cerebellum"
"Mm.150612",,"ESTs",,"tumor gross tissue ;neural retina"
"Mm.150676",,"ESTs",,"urogenital ridge (embryonic)"
"Mm.150736",,"ESTs",,"Thymus"
"Mm.150755",,"ESTs",,"Newborn Brain"
"Mm.150790",,"ESTs",,"cerebellum"
"Mm.150981",,"expressed sequence AW124826",,"olfactory brain"
"Mm.151471",,"ESTs",,"NIH_BMAP_Ret4_S2"
"Mm.151681",,"ESTs",,"NIH_BMAP_Ret4_S2"
"Mm.151769",,"ESTs",,"NIH_BMAP_Ret4_S2"
"Mm.151881",,"ESTs Weakly similar to S12207 hypothetical protein (B2 element) - mouse",,"NIH_BMAP_Ret4_S2"
"Mm.151907",,"EST",,"NIH_BMAP_Ret4_S2"
"Unigene",,"Unigene Description",,"Tissue"
"Mm.151980",,"ESTs",,"NIH_BMAP_Ret4_S2"
"Mm.153087",,"ESTs",,"branchial arches ;head"
"Mm.153100",,"ESTs",,"cerebellum"
"Mm.153556",,"EST",,"adipose"
"Mm.153607",,"ESTs",,"medulla oblongata"
"Mm.154084",,"ESTs Weakly similar to T15628 hypothetical protein C25H3.9 [C. elegans]",,"tumor gross tissue ;kidney"
"Mm.154096",,"ESTs",,"wolffian duct includes surrounding region"
"Mm.154212",,"ESTs",,"skin"
"Mm.154609",,"ESTs",,"Hematopoietic Stem Cell (Lin-/c-Kit+/Sca-1+) ;liver"
"Mm.154623",,"ESTs Moderately similar to SNAG MOUSE Gamma-soluble NSF attachment protein (SNAP-gamma)",,"lung"
"Mm.154737",,"DNA segment Chr 5 ERATO Doi 255 expressed",,"activated spleen ;blastocyst"
"Mm.155144",,"DNA segment Chr 9 ERATO Doi 338 expressed",,"blastocyst"
"Mm.155179",,"DNA segment Chr 11 ERATO Doi 72 expressed",,"blastocyst"
"Mm.155181",,"DNA segment Chr 6 ERATO Doi 131 expressed",,"blastocyst"
"Mm.156002",,"ESTs",,"urinary bladder ;ovary PMSG-treated"
"Mm.156189",,"ESTs",,"Thymus ;lymph node"
"Mm.156363",,"ESTs",,"cerebellum"
"Mm.156366",,"EST",,"NIH_BMAP_Ret4_S2"
"Mm.156511",,"ESTs",,"Thymus"
"Mm.156573",,"ESTs",,"Male genital ridge/mesonephros"
"Mm.156577",,"ESTs Moderately similar to POL2 MOUSE Retrovirus-related POL polyprotein [Contains Reverse transcriptase ; Endonuclease] [M.musculus]",,"liver"
"Mm.156617",,"ESTs",,"NIH_BMAP_M_S4"
"Mm.156669",,"ESTs",,"thymus ;diaphragm"
"Mm.156678",,"ESTs",,"aorta and vein"
"Mm.156937",,"ESTs",,"kidney"
"Mm.157029",,"ESTs",,"Thymus ;mammary gland"
"Mm.157567",,"ESTs",,"infiltrating ductal carcinoma"
"Mm.157655",,"RIKEN cDNA 9530002B09 gene",,"urinary bladder ;Testicles"
"Mm.158250",,"RIKEN cDNA 2610034E01 gene",,"heart"
"Mm.158344",,"RIKEN cDNA 1500037O19 gene",,"corpora quadrigemina ;cerebellum"
"Mm.158732",,"RIKEN cDNA 9130409J20 gene",,"cecum"
"Mm.158733",,"RIKEN cDNA 9130008F23 gene",,"aorta and vein ;cecum"
"Mm.158816",,"RIKEN cDNA 2310050P20 gene",,"Male genital ridge/mesonephros ;tongue"
"Mm.158928",,"RIKEN cDNA 2900046F13 gene",,"hippocampus"
"Mm.159335",,"RIKEN cDNA 4930408F14 gene",,"testis ;Testicles"
"Mm.159469",,"RIKEN cDNA 4930528D03 gene",,"testis ;carcinoma"
"Mm.159640",,"RIKEN cDNA 5033415L01 gene",,"melanoma ;ovary and uterus"
"Mm.159719",,"RIKEN cDNA 6530409C15 gene",,"cerebellum"
"Mm.159852",,"RIKEN cDNA 5930427J20 gene",,"embryonic body from diaphragm to neck ;forelimb"
"Mm.159918",,"RIKEN cDNA 9430092D12 gene",,"embryonic body from diaphragm to neck"
"Mm.159983",,"RIKEN cDNA 6720460K10 gene",,"wolffian duct includes surroundings"
"Mm.159989",,"RIKEN cDNA A230104H11 gene",,"visual cortex ;hypothalamus"
"Mm.160104",,"RIKEN cDNA 9530023I19 gene",,"urinary bladder"
"Mm.160118",,"RIKEN cDNA D530031A16 gene",,"stomach"
"Mm.161243",,"RIKEN cDNA 4930438C08 gene",,"testis ;wolffian duct includes surroundings"
"Mm.161364",,"ESTs",,"retina"
"Mm.161683",,"EST",,"embryonic body from diaphragm to neck"
"Mm.161728",,"EST",,"embryonic body from diaphragm to neck"
"Mm.162928",,"ESTs",,"thymus"
"Mm.163102",,"ESTs",,"Spleen ;thymus"
"Mm.163161",,"ESTs Weakly similar to RIKEN cDNA 5730493B19 [Mus musculus]",,"thymus ;Thymus"
"Mm.165495",,"RIKEN cDNA 2210406O10 gene",,"cerebellum ;lung"
"Mm.167541",,"ESTs",,"head"
"Mm.168478",,"ESTs",,"kidney ;Male genital ridge/mesonephros"
"Mm.170855",,"ESTs Weakly similar to hypothetical protein FLJ11280 [Homo sapiens]",,"testis ;adipose"
"Mm.172215",,"ESTs",,"visual cortex"
"Mm.172260",,"ESTs",,"Spleen"
"Mm.172292",,"ESTs",,"germinal B-cell"
"Mm.172389",,"EST",,"tumor biopsy sample"
"Mm.172604",,"expressed sequence C76872",,"blastocyst"
"Mm.172648",,"expressed sequence C77591",,"blastocyst"
"Unigene",,"Unigene Description",,"Tissue"
"Mm.172719",,"ESTs",,"blastocyst"
"Mm.172768",,"ESTs",,"blastocyst"
"Mm.172855",,"ESTs Weakly similar to RIKEN cDNA 5730493B19 [Mus musculus]",,"oviduct ;blastocyst"
"Mm.172889",,"expressed sequence C81364",,"blastocyst"
"Mm.172906",,"ESTs Weakly similar to RIKEN cDNA 5730493B19 [Mus musculus]",,"Tcell"
"Mm.173823",,"EST",,"Sugano mouse embryo mewa"
"Mm.174255",,"ESTs",,"lymph node ;eyeball"
"Mm.174307",,"ESTs",,"urinary bladder ;mammary gland"
"Mm.178381",,"expressed sequence C79816",,"blastocyst ;skin"
"Mm.180127",,"EST",,"cortex"
"Mm.180923",,"ESTs",,"hippocampus ;ovary"
"Mm.181939",,"ESTs",,"colon ;blastocyst"
"Mm.182541",,"ESTs",,"inner ear"
"Mm.182547",,"ESTs Weakly similar to I49636 DNA-binding protein - mouse [M.musculus]",,"diencephalon"
"Mm.182583",,"ESTs",,"pancreas"
"Mm.182592",,"ESTs",,"E12.5 Female Mesonephros and Gonads cDNA;NIA Mouse 15K cDNA"
"Mm.182757",,"ESTs Weakly similar to RIKEN cDNA 5730493B19 [Mus musculus]",,"Newborn Brain"
"Mm.182767",,"ESTs",,"pituitary gland ;thymus"
"Mm.182792",,"ESTs",,"thymus"
"Mm.182808",,"ESTs Weakly similar to RIKEN cDNA 4933436E20 [Mus musculus]",,"tumor gross tissue"
"Mm.182831",,"ESTs",,"head"
"Mm.182966",,"ESTs",,"tumor biopsy sample"
"Mm.183285",,"ESTs",,"skin ;kidney"
"Mm.184880",,"ESTs Weakly similar to RIKEN cDNA 5830411J07 [Mus musculus]",,"spinal cord ;tongue"
"Mm.185100",,"EST",,"thymus"
"Mm.187151",,"EST",,"pancreas"
"Mm.187850",,"EST",,"lung"
"Mm.188446",,"EST",,"salivary gland"
"Mm.190040",,"ESTs",,"tumor metastatic to mammary"
"Mm.190602",,"RIKEN cDNA 9130023F12 gene",,"aorta and vein ;cecum"
"Mm.190849",,"ESTs",,"NIH_BMAP_M_S3.3"
"Mm.190864",,"ESTs Highly similar to hypothetical protein ASH1 [Homo sapiens]",,"infiltrating ductal carcinoma"
"Mm.190939",,"EST",,"medulla oblongata"
"Mm.191019",,"ESTs",,"Fetal Liver"
"Mm.191159",,"EST",,"NIH_BMAP_Ret1_N"
"Mm.191244",,"ESTs",,"aorta and vein"
"Mm.191273",,"ESTs",,"NIH_BMAP_MSC_S1"
"Mm.191364",,"ESTs",,"NIH_BMAP_Ret4_S2"
"Mm.191487",,"ESTs",,"neural retina ;whole brain"
"Mm.191502",,"ESTs",,"thymus ;retina"
"Mm.191826",,"ESTs",,"NIH_BMAP_MHI2_S1"
"Mm.191883",,"EST",,"NIH_BMAP_Ret4_S2"
"Mm.192152",,"ESTs",,"NIH_BMAP_M_S4"
"Mm.192203",,"EST",,"ovary"
"Mm.192335",,"ESTs",,"Fetal Liver ;Liver"
"Mm.192354",,"ESTs",,"whole skin"
"Mm.192694",,"EST",,"NIH_BMAP_M_S1"
"Mm.192705",,"ESTs",,"hippocampus ;sympathetic ganglion"
"Mm.192758",,"EST",,"NIH_BMAP_M_S2"
"Mm.192868",,"EST",,"NIH_BMAP_M_S2"
"Mm.192969",,"ESTs Highly similar to NF1 MOUSE Neurofibromin",,"whole brain ;Mesenchymal stem cell"
"Mm.192997",,"ESTs",,"Tcell"
"Mm.193135",,"ESTs",,"Spleen"
"Mm.193287",,"EST",,"NIH_BMAP_M_S4"
"Mm.193578",,"ESTs",,"thymus ;sympathetic ganglion"
"Mm.193637",,"ESTs",,"NIH_BMAP_M_S4"
"Mm.193735",,"ESTs",,"sympathetic ganglion"
"Mm.193771",,"EST",,"NIH_BMAP_Ret1"
"Mm.193805",,"ESTs",,"Rathke's pouches ;brain"
"Mm.193810",,"EST",,"NIH_BMAP_Ret3_N"
"Mm.193872",,"ESTs",,"NIH_BMAP_Ret4_S2"
"Mm.193905",,"ESTs",,"NIH_BMAP_Ret4_S2"
"Mm.193913",,"ESTs",,"kidney"
"Mm.193965",,"EST",,"NIH_BMAP_MHI2_S1"
"Unigene",,"Unigene Description",,"Tissue"
"Mm.194121",,"ESTs",,"spinal ganglion ;Newborn Kidney"
"Mm.194169",,"ESTs",,"NIH_BMAP_Ret4_S2"
"Mm.194192",,"ESTs",,"NIH_BMAP_M_S4"
"Mm.194305",,"ESTs",,"Cardiac muscle"
"Mm.194359",,"ESTs",,"pancreas"
"Mm.194399",,"ESTs Moderately similar to cofactor required for Sp1 transcriptional activation subunit 2 (150 kDa) [Mus musculus]",,"pancreas ;spinal ganglion"
"Mm.194416",,"EST",,"pancreas"
"Mm.194418",,"EST",,"pancreas"
"Mm.194432",,"ESTs",,"Total pancreas ;pancreas"
"Mm.194673",,"ESTs",,"medulla oblongata ;wolffian duct includes surroundings"
"Mm.194696",,"EST",,"NIH_BMAP_MCE_N"
"Mm.194706",,"EST",,"NIH_BMAP_M_S1"
"Mm.195005",,"EST",,"NIH_BMAP_M_S4"
"Mm.195104",,"DNA segment KIST 2",,"corpora quadrigemina"
"Mm.195233",,"DNA segment Chr 17 ERATO Doi 562 expressed",,"Mouse unfertilized egg cDNA"
"Mm.195612",,"RIKEN cDNA 4933437I04 gene",,"testis"
"Mm.195762",,"RIKEN cDNA 2010012A22 gene",,"tumor ;olfactory epithelium ;urogenital"
"Mm.195774",,"RIKEN cDNA 2700028P07 gene",,"blastocyst"
"Mm.195848",,"S-adenosylmethionine decarboxylase 2",,"blastocyst"
"Mm.196683",,"clone IMAGE3500870 mRNA",,"spontaneous tumor metastatic to mammary. Stem cell origin."
"Mm.196688",,"acetyl-Coenzyme A carboxylase",,"whole brain ;branchial arches"
"Mm.196897",,"EST",,"NIH_BMAP_M_S4"
"Mm.196936",,"EST",,"NIH_BMAP_M_S4"
"Mm.197013",,"ESTs",,"tumor gross tissue"
"Mm.197033",,"EST",,"NIH_BMAP_M_S4"
"Mm.197198",,"EST",,"tumor gross tissue"
"Mm.197664",,"ESTs",,"pancreas ;urogenital ridge (embryonic)"
"Mm.198374",,"expressed sequence AV000645",,"kidney"
"Mm.198968",,"expressed sequence AI851226",,"NIH_BMAP_M_S1"
"Mm.199048",,"expressed sequence AW492537",,"urinary bladder ;oviduct"
"Mm.199143",,"expressed sequence AU018944",,"Mouse eight-cell stage embryo cDNA;RIKEN full-length enriched, B6-derived CD11 +ve dendritic cells"
