"Supplementary Table 1:  Genes differentially expressed between developmental timepoints at significance level p=0.001 without the correction for multiple comparisons."
"Species ID","Unigene","Description","Genbank","UGS","Neonatal","Day 10","Day 20","Day 35","Month 3","Month 14"
"4036","Mm.788","lymphocyte antigen 6 complex locus E","NM_008529.1","0.9","3.2","65.4","19.5","0","1.5","29.1"
"4830","Mm.831","signal sequence receptor delta","NM_009279.1","0","3.2","3.1","4.9","6.1","11.5","8.7"
"4975","Mm.873","U5 small nuclear ribonucleoprotein 116 kDa","NM_011431.2","1.8","1.6","0","0","13.9","0","0"
"5802","Mm.911","high mobility group nucleosomal binding domain 2","AK078413.1","5.3","4.8","3.1","12.2","0","0.8","0"
"5812","Mm.916","H2A histone family member Z","NM_016750.1","17.6","33.7","18.7","17","0","6.1","0"
"61","Mm.1000","myosin light chain alkali fast skeletal muscle","AK009938.1","0","8","0","0","20.9","0","0"
"66","Mm.1007","proteasome (prosome macropain) subunit alpha type 3","NM_011184.1","3.5","14.5","3.1","2.4","0","2.3","5.8"
"1371","Mm.1164","SEC61 gamma subunit (S. cerevisiae)","AK012644.1","4.4","25.7","6.2","4.9","0","11.5","8.7"
"2371","Mm.1260","expressed in non-metastatic cells 1 protein (NM23A)","XM_126757.1","0.9","6.4","6.2","0","13.9","0","2.9"
"2454","Mm.1286","seminal vesicle protein 2","AK020349.1","0","0","0","63.2","83.6","12.3","2.9"
"5479","Mm.1571","cadherin 11","NM_009866.2","14.9","6.4","3.1","7.3","0","2.3","0"
"6511","Mm.1674","ATP synthase H+ transporting mitochondrial F0 complex","AK003817.1","0","12.8","12.4","4.9","0","5.4","8.7"
"7319","Mm.1703","tubulin beta 5","BC002347.1","11.4","1.6","0","9.7","6.1","1.5","5.8"
"7356","Mm.1716","troponin C fast skeletal","NM_009394.1","0","4.8","0","2.4","20.9","0","0"
"810","Mm.1813","chaperonin subunit 5 (epsilon)","NM_007637.1","3.5","8","21.8","9.7","6.1","3.8","11.6"
"889","Mm.1838","vesicle-associated membrane protein 8","BC012668.1","0","11.2","21.8","14.6","0","3.1","11.6"
"2116","Mm.1987","decorin","NM_007833.1","13.2","40.1","37.3","4.9","6.1","5.4","8.7"
"4100","Mm.2006","transgelin","NM_011526.1","1.8","1.6","24.9","7.3","0","0","5.8"
"4222","Mm.2050","RIKEN cDNA 2510008H07 ","NM_025586.1","4.4","28.9","21.8","12.2","6.1","5.4","26.2"
"5223","Mm.2147","cathepsin D","NM_009983.2","0.9","3.2","0","12.2","0","0","0"
"5249","Mm.2151","cytochrome c oxidase subunit VIIa 2","AK007875.1","4.4","20.9","34.2","17","13.9","13","11.6"
"5301","Mm.2171","ATPase inhibitor","BC012680.1","1.8","32.1","9.3","7.3","0","0","0"
"5332","Mm.2180","heat shock protein 84 kDa 1","NM_008302.1","13.2","12.8","18.7","24.3","0","3.8","5.8"
"5338","Mm.2184","RIKEN cDNA 2510048O06 ","NM_025624.1","0","16.1","18.7","14.6","0","6.1","8.7"
"7229","Mm.2338","glutamine synthetase","NM_008131.1","1.8","1.6","12.4","7.3","0","0","2.9"
"603","Mm.2409","alcohol dehydrogenase 1 (class I)","NM_007409.2","2.6","8","37.3","38.9","27.9","8.4","20.4"
"664","Mm.2424","ribosomal protein L10A","NM_011287.1","2.6","16.1","9.3","7.3","13.9","0","5.8"
"780","Mm.2462","proteasome (prosome macropain) 26S subunit ATPase 2","XM_131918.2","0","3.2","6.2","2.4","13.9","0","0"
"789","Mm.2469","split hand","BC023490.1","0.9","9.6","3.1","2.4","0","0","0"
"854","Mm.2485","nuclear DNA binding protein","NM_020558.1","4.4","19.3","3.1","4.9","6.1","0.8","0"
"Species ID","Unigene","Description","Genbank","UGS","Neonatal","Day 10","Day 20","Day 35","Month 3","Month 14"
,,,,"12235","7061","3374","4415","1588","14575","3658"
"1839","Mm.2540","beta-microseminoprotein","NM_020597.1","0","0","0","2.4","13.9","15.3","5.8"
"1847","Mm.2547","defender against cell death 1","NM_010015.1","2.6","25.7","18.7","9.7","13.9","10.7","11.6"
"2902","Mm.2642","poly A binding protein cytoplasmic 1","NM_008774.1","5.3","1.6","24.9","7.3","34.8","6.1","0"
"3999","Mm.2766","parvalbumin","NM_013645.1","0","0","0","0","13.9","0","0"
"4045","Mm.2785","diazepam binding inhibitor","AK020692.1","3.5","19.3","9.3","4.9","0","7.7","8.7"
"600","Mm.3063","pleiotrophin","AK011346.1","6.2","12.8","0","2.4","0","0.8","0"
"2652","Mm.3229","ribosomal protein L26","XM_122248.1","11.4","32.1","18.7","19.5","0","10.7","17.5"
"3707","Mm.3328","myosin light chain alkali nonmuscle","XM_125951.2","8.8","101.2","105.8","26.8","13.9","9.1","20.4"
"3820","Mm.3360","tyrosine 3-monooxygenase","NM_011740.1","5.3","1.6","15.6","7.3","0","1.5","0"
"3873","Mm.3381","ribosomal protein S8","AK019223.1","1.8","20.9","15.6","14.6","27.9","3.1","8.7"
"4606","Mm.3412","ribonuclease 1 pancreatic","NM_011271.1","0","0","28","14.6","34.8","68.9","20.4"
"4820","Mm.3486","ribosomal protein L3","NM_013762.1","1.8","8","15.6","26.8","20.9","3.8","0"
"252","Mm.3746","nascent polypeptide-associated complex alpha polypeptide","NM_013608.1","5.3","14.5","0","7.3","13.9","2.3","8.7"
"1478","Mm.3882","Bcl2-like","U51279.1","0","0","15.6","0","0","0","0"
"4610","Mm.4071","laminin receptor 1 (67kD ribosomal protein SA)","NM_011029.1","10.5","6.4","6.2","0","0","0","8.7"
"4670","Mm.4095","inactive X specific transcripts","AJ421479.1","12.3","0","0","0","0","0","0"
"5615","Mm.4168","solute carrier family 12 member 2","NM_009194.1","1.8","3.2","3.1","19.5","0","13","2.9"
"6727","Mm.4280","RIKEN cDNA 2010203J19 ","NM_025919.1","3.5","19.3","9.3","2.4","13.9","3.8","2.9"
"985","Mm.4407","adipsin","NM_013459.1","0","0","0","0","13.9","0","0"
"1058","Mm.4426","Cd63 antigen","BC008108.1","0.9","9.6","6.2","0","0","0","0"
"1283","Mm.4482","procollagen type I alpha 2","NM_007743.1","7.9","25.7","37.3","7.3","0","0","0"
"2136","Mm.4537","NADH dehydrogenase (ubiquinone) 1 beta subcomplex 9","XM_128136.3","0","11.2","6.2","0","0","3.8","2.9"
"6197","Mm.4919","DNA segment human D4S114","NM_053078.1","7.9","6.4","0","2.4","0","0","0"
"3114","Mm.5246","peptidylprolyl isomerase A","NM_008907.1","78.2","102.8","93.4","65.7","41.8","43.7","23.3"
"3227","Mm.5286","acidic ribosomal phosphoprotein PO","NM_007475.1","5.3","8","18.7","31.6","20.9","2.3","26.2"
"4092","Mm.5341","defensin beta 1","BC024380.1","0","0","0","2.4","0","7.7","20.4"
"431","Mm.6343","nucleophosmin 1","AK028253.1","7.9","20.9","6.2","7.3","0","0.8","5.8"
"2712","Mm.6587","anti-oxidant protein 2","NM_007453.1","0","1.6","18.7","58.4","62.7","71.2","75.7"
"5642","Mm.6856","pituitary tumor-transforming 1","AK008704.1","0","3.2","12.4","0","0","0","5.8"
"3462","Mm.7244","anterior gradient 2 (Xenopus laevis)","NM_011783.1","0","12.8","3.1","17","34.8","67.4","23.3"
"4449","Mm.7353","ubiquitin-like 1","AK002536.1","0.9","14.5","6.2","4.9","0","1.5","5.8"
"2154","Mm.7880","S-adenosylmethionine decarboxylase 1","NM_009665.1","1.8","1.6","6.2","4.9","6.1","18.4","2.9"
"5239","Mm.8034","probasin","NM_017471.1","0","0","6.2","31.6","181.1","317.9","113.6"
"1266","Mm.9703","ATX1 (antioxidant protein 1) homolog 1 (yeast)","BC027632.1","0.9","9.6","0","2.4","0","0","0"
"6364","Mm.10474","RIKEN cDNA 3110005M08 ","AK028138.1","1.8","16.1","0","2.4","0","10.7","11.6"
"1783","Mm.10706","RIKEN cDNA 2010004J23 ","AK008098.1","14.9","32.1","15.6","9.7","20.9","11.5","17.5"
"3018","Mm.10859","elafin-like protein I","AK078998.1","0","4.8","3.1","4.9","20.9","0","8.7"
"3646","Mm.12144","mitochondrial ribosomal protein L23","NM_011288.1","0","20.9","3.1","2.4","0","0","2.9"
"7565","Mm.12508","karyopherin (importin) alpha 2","NM_010655.1","0.9","0","21.8","4.9","0","3.8","0"
"1043","Mm.12603","expressed sequence AU014804","AL808104.13","0","0","0","0","13.9","0","0"
"7218","Mm.13859","ribosomal protein L41","AK007874.1","7.9","27.3","37.3","36.5","20.9","11.5","20.4"
"2889","Mm.14022","cytochrome c oxidase subunit VIIIa","AK008594.1","0","1.6","0","2.4","13.9","0","0"
"3891","Mm.14114","CEA-related cell adhesion molecule 1","BC016891.1","0","0","12.4","14.6","0","3.1","8.7"
"426","Mm.14526","myosin light chain phosphorylatable fast skeletal muscle","NM_016754.1","0","9.6","0","0","6.1","0","0"
"1664","Mm.14663","ATP synthase H+ transporting mitochondrial F0 complex","AK005380.1","1.8","32.1","12.4","4.9","6.1","6.1","8.7"
"2644","Mm.14747","interferon induced transmembrane protein 3-like","AY082486.1","0","33.7","6.2","12.2","6.1","0.8","2.9"
"3588","Mm.14802","H19 fetal liver mRNA","NM_023123.1","19.3","4.8","0","0","0","0","0"
"7297","Mm.16421","high mobility group box 1","NM_010439.1","4.4","19.3","3.1","17","0","3.1","0"
"7298","Mm.16423","ribosomal protein L35","NM_025592.2","17.6","128.5","71.6","70.5","48.7","42.1","66.1"
"794","Mm.16537","actin alpha 2 smooth muscle aorta","NM_007392.1","7","17.7","56","36.5","0","6.9","14.6"
"Species ID","Unigene","Description","Genbank","UGS","Neonatal","Day 10","Day 20","Day 35","Month 3","Month 14"
,,,,"12235","7061","3374","4415","1588","14575","3658"
"866","Mm.16553","neural precursor cell expressed developmentally down-regulted  4","NM_010890.2","16.7","14.5","6.2","12.2","20.9","1.5","0"
"903","Mm.16562","actin gamma 2 smooth muscle enteric","NM_009610.1","1.8","0","21.8","14.6","0","2.3","0"
"3107","Mm.16767","heteroous nuclear ribonucleoprotein A2","NM_016806.1","11.4","6.4","6.2","2.4","6.1","1.5","0"
"3141","Mm.16775","ribosomal protein S24","AK005358.1","9.7","32.1","6.2","4.9","6.1","7.7","0"
"2690","Mm.17307","RNA-binding region (RNP1 RRM) containing 2","BC023205.1","10.5","0","0","7.3","0","0.8","0"
"3378","Mm.18742","nuclear protein 1","NM_019738.1","0","11.2","0","4.9","13.9","0","17.5"
"886","Mm.19101","DEAD","NM_007840.1","19.3","4.8","15.6","2.4","6.1","3.1","0"
"1206","Mm.19187","prothymosin alpha","AK088005.1","10.5","14.5","9.3","4.9","0","0.8","5.8"
"3236","Mm.19355","ribosomal protein L35a","AL928925.6","3.5","24.1","3.1","14.6","6.1","9.1","5.8"
"3294","Mm.19370","ATP synthase H+ transporting mitochondrial F1F0 complex","BC028438.1","0","28.9","0","0","0","3.8","5.8"
"5032","Mm.20829","epithelial membrane protein 3","BC001999.1","1.8","11.2","6.2","2.4","0","0.8","0"
"1722","Mm.21109","hypothetical protein MGC28083","NM_146120.1","0","1.6","0","0","20.9","0.8","0"
"2764","Mm.21203","zinc finger protein 265","XM_131199.2","1.8","11.2","0","0","0","0","0"
"6985","Mm.21650","programmed cell death 5","AK007297.1","1.8","12.8","0","4.9","0","1.5","2.9"
"425","Mm.21740","heteroous nuclear ribonucleoprotein H1","BC042187.1","10.5","3.2","0","0","0","0.8","0"
"2538","Mm.21938","ribosomal protein S20","NM_026147.1","1.8","4.8","0","9.7","0","0","2.9"
"2606","Mm.21952","enhancer of rudimentary homolog (Drosophila)","NM_007951.1","0","20.9","12.4","12.2","6.1","1.5","2.9"
"5632","Mm.22117","polymerase (RNA) II (DNA directed) polypeptide G","NM_026329.1","0","4.8","6.2","14.6","6.1","5.4","5.8"
"6747","Mm.22233","proteasome (prosome macropain) subunit beta type 2","NM_011970.1","0.9","9.6","3.1","4.9","41.8","0.8","11.6"
"2255","Mm.22515","glypican 3","BC036126.1","0.9","0","12.4","0","0","0","0"
"3385","Mm.22621","procollagen type I alpha 1","XM_126576.2","5.3","17.7","21.8","2.4","0","0.8","0"
"4353","Mm.22723","clone IMAGE3586350 mRNA partial cds","XM_193624.1","4.4","14.5","6.2","2.4","6.1","0.8","5.8"
"7470","Mm.23693","dynein cytoplasmic light chain 2A","NM_025947.1","0.9","28.9","15.6","7.3","0","1.5","8.7"
"6060","Mm.24130","CD52 antigen","AK088161.1","0","1.6","0","0","0","0","14.6"
"3863","Mm.24662","S100 calcium binding protein A1","AK012578.1","0","20.9","15.6","12.2","0","0","2.9"
"4048","Mm.26614","mitochondrial ribosomal protein L30","NM_027098.1","0.9","9.6","3.1","2.4","0","0","2.9"
"1985","Mm.27087","RIKEN cDNA 2010012C24 ","XM_128696.1","0","6.4","0","9.7","0","0","0"
"4918","Mm.27344","clone MGC8028 IMAGE3586619 mRNA","AK088274.1","2.6","9.6","15.6","0","6.1","1.5","8.7"
"352","Mm.27606","RIKEN cDNA 1200002G13 ","NM_025360.1","0","3.2","0","14.6","0","0.8","0"
"531","Mm.27669","small nuclear ribonucleoprotein E","XM_193947.1","3.5","17.7","3.1","2.4","6.1","3.1","0"
"549","Mm.27677","RIKEN cDNA 2900002J19 ","NM_026614.1","0","32.1","0","2.4","0","0","0"
"3633","Mm.27927","heteroous nuclear ribonucleoprotein A1","AK007802.1","14.1","3.2","0","0","0","0","0"
"5766","Mm.28047","RIKEN cDNA 2310022K15 ","AK051418.1","0","0","0","0","13.9","0","0"
"5803","Mm.28058","NADH dehydrogenase (ubiquinone) 1 beta subcomplex 5","NM_025316.2","0","11.2","9.3","2.4","13.9","1.5","5.8"
"1399","Mm.28349","RIKEN cDNA 1500032D16 ","AK077433.1","1.8","9.6","21.8","2.4","0","0.8","0"
"1427","Mm.28356","vacuolar protein sorting 29 (S. pombe)","NM_019780.1","0","6.4","18.7","9.7","0","2.3","2.9"
"1429","Mm.28357","microtubule-associated protein 1 light chain 3","NM_026160.1","1.8","8","34.2","19.5","0","1.5","11.6"
"1529","Mm.28385","RIKEN cDNA 1810009M01 ","NM_023056.1","0.9","3.2","3.1","9.7","0","0","2.9"
"2518","Mm.28470","RIKEN cDNA 0910001B06 ","BC027511.1","12.3","14.5","0","2.4","0","0","0"
"5627","Mm.28797","proline rich protein expressed in brain","NM_011873.1","2.6","3.2","24.9","12.2","0","4.6","5.8"
"6541","Mm.28852","RIKEN cDNA 1810004F21 ","NM_026911.1","0","9.6","15.6","0","6.1","9.1","5.8"
"6624","Mm.28877","UDP-glucose pyrophosphorylase 2","BC023779.1","0.9","1.6","3.1","0","13.9","0","0"
"79","Mm.28978","RIKEN cDNA 1200013A08 ","NM_024263.2","0","1.6","12.4","0","0","0","0"
"2109","Mm.29017","RIKEN cDNA 4733401H14 ","NM_025718.1","0","0","15.6","0","6.1","0","0"
"2143","Mm.29027","SPARC-like 1 (mast9 hevin)","NM_010097.1","3.5","1.6","15.6","9.7","0","0.8","0"
"2242","Mm.29057","RIKEN cDNA 2900073G15 ","NM_026064.1","0.9","17.7","12.4","2.4","6.1","0","2.9"
"2286","Mm.29065","RIKEN cDNA 0610006N12 ","XM_148592.1","3.5","22.5","3.1","2.4","27.9","3.1","2.9"
"3291","Mm.29135","small nuclear ribonucleoprotein D2","XM_133225.1","1.8","22.5","15.6","2.4","0","1.5","0"
"3312","Mm.29141","RIKEN cDNA 0710008N11 ","NM_023374.2","0.9","3.2","6.2","12.2","6.1","0.8","2.9"
"6376","Mm.29466","Kruppel-like factor 7 (ubiquitous)","AL645646.8","0.9","1.6","0","0","13.9","0","0"
"Species ID","Unigene","Description","Genbank","UGS","Neonatal","Day 10","Day 20","Day 35","Month 3","Month 14"
,,,,"12235","7061","3374","4415","1588","14575","3658"
"7260","Mm.29513","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 7","NM_023202.2","1.8","12.8","34.2","4.9","13.9","4.6","5.8"
"7522","Mm.29599","mitochondrial ribosomal protein S14","NM_025474.1","0","19.3","3.1","7.3","13.9","5.4","0"
"726","Mm.29618","RIKEN cDNA 2310046A13 ","XM_133325.3","0","1.6","18.7","0","0","0","0"
"1875","Mm.29722","upregulated during skeletal muscle growth 5","XM_192854.1","0","17.7","9.3","0","0","8.4","2.9"
"2963","Mm.29828","RIKEN cDNA 1810036J22 ","AK030343.1","3.5","27.3","9.3","2.4","13.9","5.4","11.6"
"3065","Mm.29859","eukaryotic translation initiation factor 2 subunit 2 (beta 38kDa)","BC003848.1","2.6","20.9","0","2.4","0","5.4","0"
"3092","Mm.29867","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 2","AK003608.1","4.4","17.7","24.9","9.7","13.9","3.1","23.3"
"3180","Mm.29896","ribosomal protein L21","AK018480.1","6.2","32.1","0","17","6.1","6.9","11.6"
"3922","Mm.29911","ribosomal protein S27","AK088320.1","5.3","41.8","31.1","14.6","20.9","36.8","32"
"3959","Mm.29923","SMT3 (supressor of mif two 3) homolog 2 (S. cerevisiae)","NM_133354.1","12.3","9.6","0","4.9","0","1.5","2.9"
"4132","Mm.29982","ribosomal protein L31","NM_053257.1","2.6","22.5","3.1","2.4","0","5.4","0"
"6392","Mm.30008","RIKEN cDNA 2900055D03 ","NM_026065.2","2.6","32.1","15.6","7.3","6.1","6.1","2.9"
"6604","Mm.30064","gamma-aminobutyric acid receptor associated protein","BC002126.1","1.8","9.6","28","12.2","13.9","11.5","11.6"
"6607","Mm.30066","ribosomal protein L8","NM_012053.1","2.6","11.2","0","0","0","0","0"
"21","Mm.30152","mitochondrial ribosomal protein L33","AK021173.1","2.6","19.3","0","4.9","0","1.5","2.9"
"24","Mm.30155","ATPase H+ transporting lysosomal 16kD V0 subunit C","NM_009729.1","1.8","0","3.1","2.4","20.9","0","0"
"1135","Mm.30266","hemoglobin beta adult minor chain","AK027904.1","42.2","19.3","3.1","2.4","6.1","0","2.9"
"1977","Mm.30300","CEA-related cell adhesion molecule 10","NM_007675.1","0","0","0","0","27.9","0","0"
"659","Mm.30929","peroxiredoxin 1","NM_011034.1","13.2","32.1","43.6","38.9","34.8","24.5","14.6"
"2935","Mm.31018","cytochrome b-5","NM_025797.1","0.9","3.2","6.2","19.5","0","3.1","0"
"1823","Mm.34246","calmodulin 1","AK088141.1","0.9","12.8","15.6","14.6","20.9","3.8","5.8"
"5767","Mm.34609","placenta-specific 8","NM_139198.1","0.9","0","3.1","2.4","0","10.7","0"
"6831","Mm.35369","RIKEN cDNA 2310065D10 ","AK028727.1","0","0","0","2.4","0","19.9","14.6"
"6902","Mm.35389","cytochrome c somatic","BC034363.1","3.5","38.5","18.7","2.4","6.1","3.1","5.8"
"199","Mm.35439","secreted acidic cysteine rich glycoprotein","AK014286.1","5.3","14.5","21.8","31.6","6.1","3.1","2.9"
"3608","Mm.35796","ecotropic viral integration site 5","NM_007964.1","0","0","0","0","13.9","0","0"
"4400","Mm.35844","growth arrest specific 5","NM_013525.1","1.8","19.3","0","4.9","6.1","9.2","5.8"
"4425","Mm.35853","catechol-O-methyltransferase","NM_007744.1","0","1.6","0","12.2","6.1","2.3","0"
"1341","Mm.38888","serine (or cysteine) proteinase inhibitor clade G member 1","NM_009776.1","0","4.8","15.6","4.9","0","0.8","0"
"1062","Mm.39472","farnesyl diphosphate synthetase","NM_134469.1","0.9","4.8","3.1","9.7","0","0","0"
"1816","Mm.40801","ESTs","--","0","0","0","0","13.9","0","0"
"1795","Mm.41456","Purkinje cell protein 2 (L7)","AK013674.1","0","14.5","0","4.9","0","1.5","0"
"2717","Mm.41511","RIKEN cDNA 1700023M09 ","NM_025498.1","17.6","9.6","15.6","2.4","0","0.8","0"
"4708","Mm.41711","hypothetical protein MGC27629","NM_144859.1","1.8","3.2","15.6","0","0","0","0"
"4797","Mm.41746","RNA polymerase II transcriptional coactivator","NM_011294.1","2.6","38.5","0","2.4","0","6.1","5.8"
"6826","Mm.41926","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 4","BC011114.1","0.9","22.5","15.6","7.3","6.1","6.1","0"
"6849","Mm.41931","microfibrillar associated protein 5","NM_015776.1","2.6","8","15.6","7.3","13.9","0","0"
"2795","Mm.42197","proteasome (prosome macropain) subunit beta type 1","NM_011185.1","1.8","4.8","24.9","14.6","13.9","6.9","8.7"
"2212","Mm.42829","selenoprotein W muscle 1","AK002870.1","0","16.1","6.2","0","20.9","0","5.8"
"3479","Mm.42972","tyrosine 3-monooxygenase","NM_009536.1","2.6","3.2","12.4","4.9","0","0","0"
"5367","Mm.43005","ubiquitin A-52 residue ribosomal protein fusion product 1","BC014772.1","10.5","36.9","46.7","12.2","34.8","14.6","14.6"
"988","Mm.43330","RIKEN cDNA 0610025G13 ","AK012391.1","1.8","27.3","9.3","2.4","6.1","8.4","8.7"
"5284","Mm.43778","ribosomal protein S14","AK012584.1","5.3","65.8","24.9","46.2","27.9","5.4","23.3"
"6171","Mm.43831","lectin galactose binding soluble 1","NM_008495.1","6.2","80.3","21.8","26.8","6.1","0.8","0"
"6313","Mm.46428","spermine binding protein","NM_011321.1","0","0","52.9","238.4","1399.7","2417.8","1403.6"
"2106","Mm.46790","RIKEN cDNA 2210016F16 ","XM_127364.2","0","0","0","2.4","13.9","0","0"
"4038","Mm.64573","DNA segment Chr 17 Wayne State University 155 expressed","AK003547.1","0.9","19.3","9.3","2.4","0","4.6","0"
"4994","Mm.71887","11 kDa secreted protein precursor mRNA","AF272844.1","0","0","0","0","0","6.1","14.6"
"2152","Mm.73550","stimulated by retinoic acid 13","AK080500.1","0","12.8","0","2.4","0","3.8","0"
"4265","Mm.73762","ESTs","AC126273.3","0","0","0","0","0","6.9","23.3"
"Species ID","Unigene","Description","Genbank","UGS","Neonatal","Day 10","Day 20","Day 35","Month 3","Month 14"
,,,,"12235","7061","3374","4415","1588","14575","3658"
"3076","Mm.77586","ESTs similar to I58401 protein-tyrosine kinase JAK3",,"0","0","0","0","13.9","0","0"
"4263","Mm.83526","tumor necrosis factor receptor shedding aminopeptidase regulator","AK040350.1","0","1.6","0","0","13.9","0","0"
"5259","Mm.83615","myosin light polypeptide 9 regulatory","AK020258.1","1.8","6.4","21.8","12.2","0","0","0"
"1261","Mm.89136","H3 histone family 3A","NM_008210.1","6.2","12.8","12.4","4.9","0","1.5","2.9"
"2329","Mm.90587","enolase 1 alpha non-neuron","NM_023119.1","5.3","3.2","6.2","9.7","13.9","0","2.9"
"3438","Mm.99118","expressed sequence BB114814","XM_219319.1","0","0","0","2.4","27.9","18.4","0"
"5509","Mm.99349","seminal vesicle protein secretion 7","AK020540.1","0","0","0","4.9","0","5.4","93.2"
"6767","Mm.100113","ribosomal protein 10","NM_052835.1","13.2","4.8","21.8","31.6","20.9","20.7","26.2"
"3709","Mm.103142","ESTssimilar to hypothetical protein FLJ12547","--","0","0","0","0","13.9","0","0"
"3374","Mm.103838","ATP synthase H+ transporting mitochondrial F1 complex","NM_016774.1","0.9","6.4","18.7","0","0","1.5","2.9"
"2175","Mm.104368","ribosomal protein L32","AK012525.1","4.4","27.3","18.7","17","0","11.5","26.2"
"6222","Mm.104747","immunoglobulin kappa chain variable 28 (V28)","XM_132633.3","0","0","0","0","0","0","14.6"
"5050","Mm.118350","RIKEN cDNA 9530003J23 ","NM_029906.1","0","0","0","0","6.1","30.6","14.6"
"2570","Mm.118804","ESTs Similar to Acrosomal vesicle protein-1","XM_135421.1","0","0","0","2.4","6.1","56.7","0"
"4703","Mm.120247","EST","XM_197896.1","0","0","0","21.9","0","0","0"
"1412","Mm.130425","neoplastic progression 1","AK053654.1","7.9","0","0","0","0","0","0"
"7286","Mm.132258","ESTs","AL662891.9","0","0","0","0","13.9","0","0"
"506","Mm.140154","seminal vesicle secretion 5","NM_009301.1","0","0","3.1","31.6","62.7","21.5","541.6"
"4694","Mm.140568","RIKEN cDNA 1100001I22 ","AK003177.1","8.8","28.9","21.8","14.6","20.9","9.2","2.9"
"155","Mm.140838","RIKEN cDNA 1810006K21 ","XM_207074.1","1.8","24.1","6.2","9.7","0","6.1","0"
"3458","Mm.141021","RIKEN cDNA 1110004C05 ","NM_025378.1","0.9","16.1","28","9.7","0","6.1","17.5"
"981","Mm.142188","cytochrome c oxidase subunit VIIb","AL672288.5","2.6","17.7","6.2","4.9","6.1","7.7","11.6"
"4886","Mm.142511","expressed sequence AI173355","NM_134118.1","1.8","8","15.6","7.3","0","0","5.8"
"7010","Mm.142729","thymosin beta 4 X chromosome","AK010659.1","16.7","59.4","9.3","14.6","20.9","13.8","11.6"
"590","Mm.142866","pigpen","NM_139149.1","9.7","0","0","0","0","0.8","2.9"
"1342","Mm.143501","seminal vesicle protein secretion 2","NM_017390.1","0","0","0","26.8","13.9","34.5","1694.8"
"1404","Mm.143527","RIKEN cDNA 2500002L14 ","NM_025607.1","0","0","3.1","2.4","13.9","0","0"
"177","Mm.147387","procollagen type III alpha 1","XM_129745.3","20.2","35.3","40.5","17","0","0","0"
"3417","Mm.147693","ribosomal protein S3","NM_012052.1","2.6","9.6","37.3","21.9","6.1","5.4","5.8"
"5692","Mm.153758","RIKEN cDNA 0610040H15 ","AK019218.1","2.6","22.5","9.3","7.3","0","0","5.8"
"2306","Mm.154012","RIKEN cDNA 0610008K04 ","NM_025311.1","0","0","3.1","12.2","6.1","1.5","2.9"
